GENE	BF
A1BG	-6.639
A1CF	-0.761
A2M	-15.683
A2ML1	-0.121
A3GALT2	-12.415
A4GALT	-6.751
A4GNT	-5.306
AAAS	-9.408
AACS	-13.286
AADAC	-3.733
AADACL2	-3.442
AADACL3	-6.684
AADACL4	-5.176
AADAT	3.442
AAED1	-6.923
AAGAB	-4.277
AAK1	-10.599
AAMDC	-8.696
AAMP	13.224
AANAT	-9.168
AAR2	-1.398
AARD	-7.055
AARS	20.773
AARS2	-6.187
AARSD1	-5.410
AASDH	-6.737
AASDHPPT	-7.061
AASS	-9.580
AATF	2.499
AATK	-10.277
ABAT	-10.192
ABCA1	-7.392
ABCA10	-2.197
ABCA12	-7.704
ABCA13	-10.657
ABCA2	-6.056
ABCA3	-17.140
ABCA4	-9.140
ABCA5	-4.142
ABCA6	-7.817
ABCA7	-12.848
ABCA8	-4.437
ABCA9	-4.519
ABCB1	-3.581
ABCB10	-9.123
ABCB11	-3.911
ABCB4	-11.656
ABCB5	-0.595
ABCB6	-4.545
ABCB7	11.436
ABCB8	-15.865
ABCB9	-17.167
ABCC1	-3.888
ABCC10	-5.396
ABCC11	-12.362
ABCC12	-8.011
ABCC2	-6.462
ABCC3	-16.935
ABCC4	-13.653
ABCC5	-3.457
ABCC6	-12.361
ABCC8	-12.102
ABCC9	-11.122
ABCD1	-11.700
ABCD2	-1.820
ABCD3	-5.163
ABCD4	-4.001
ABCE1	42.176
ABCF1	7.346
ABCF2	0.154
ABCF3	-11.295
ABCG1	-5.532
ABCG2	-9.950
ABCG4	-9.055
ABCG5	-10.115
ABCG8	-12.036
ABHD1	-5.944
ABHD10	-4.624
ABHD11	-5.457
ABHD12	-6.927
ABHD12B	-6.104
ABHD13	-0.245
ABHD14A	-6.688
ABHD14B	-5.275
ABHD15	-5.187
ABHD16A	-8.783
ABHD16B	-9.820
ABHD17A	0.430
ABHD17B	-8.820
ABHD17C	-14.061
ABHD2	-7.321
ABHD3	-5.366
ABHD4	-12.929
ABHD5	-8.785
ABHD6	-12.455
ABHD8	-9.765
ABI1	-6.334
ABI2	-12.841
ABI3	-13.920
ABI3BP	-6.422
ABL1	-10.414
ABL2	-15.926
ABLIM1	-9.694
ABLIM2	-4.369
ABLIM3	-5.287
ABR	-9.398
ABRA	-6.548
ABRACL	-2.252
ABT1	-3.822
ABTB1	0.258
ABTB2	-12.133
ACAA1	-8.794
ACAA2	-5.746
ACACA	-15.119
ACACB	-8.277
ACAD10	-9.148
ACAD11	-10.537
ACAD8	-2.117
ACAD9	-0.413
ACADL	-7.107
ACADM	-7.092
ACADS	-10.313
ACADSB	-1.748
ACADVL	-8.212
ACAN	-7.377
ACAP1	-11.443
ACAP2	0.309
ACAP3	-6.038
ACAT1	0.453
ACAT2	-16.988
ACBD3	-1.973
ACBD4	-10.380
ACBD5	-4.055
ACBD6	-7.356
ACBD7	5.546
ACCS	-9.227
ACCSL	-11.971
ACD	-11.083
ACE	-6.437
ACE2	-9.796
ACER1	-2.890
ACER2	-0.519
ACER3	-7.404
ACHE	-6.026
ACIN1	-4.008
ACKR2	-1.710
ACKR3	-9.906
ACKR4	-1.599
ACLY	-0.028
ACMSD	-9.987
ACN9	-8.682
ACO1	-9.510
ACO2	27.708
ACOT1	-13.569
ACOT11	-10.215
ACOT12	-3.264
ACOT13	-7.317
ACOT2	-9.249
ACOT4	-9.001
ACOT6	-7.122
ACOT7	-12.350
ACOT8	-11.034
ACOT9	-4.046
ACOX1	-6.012
ACOX2	-7.501
ACOX3	-8.838
ACOXL	-4.958
ACP1	-15.280
ACP2	-5.323
ACP5	-9.755
ACP6	-13.709
ACPL2	-6.328
ACPP	-10.739
ACPT	-2.831
ACR	-5.106
ACRBP	-6.616
ACRC	-4.007
ACRV1	-7.520
ACSBG1	-12.031
ACSBG2	-9.314
ACSF2	-6.717
ACSF3	-12.082
ACSL1	-8.765
ACSL3	-4.929
ACSL4	-8.094
ACSL5	-5.108
ACSL6	-8.480
ACSM1	-5.257
ACSM2A	-11.840
ACSM2B	-5.988
ACSM3	-6.132
ACSM4	-6.259
ACSM5	-6.206
ACSS1	-10.048
ACSS2	-7.048
ACSS3	-13.799
ACTA1	-11.853
ACTA2	-10.982
ACTB	-3.500
ACTBL2	-17.891
ACTC1	-8.567
ACTG1	5.379
ACTG2	-12.726
ACTL10	-13.388
ACTL6A	32.990
ACTL6B	-10.667
ACTL7A	-11.962
ACTL7B	-15.112
ACTL8	-11.505
ACTL9	-9.918
ACTN1	-9.320
ACTN2	-10.109
ACTN4	-11.516
ACTR10	9.155
ACTR1A	14.737
ACTR1B	-10.178
ACTR2	29.047
ACTR3	6.305
ACTR3B	-0.411
ACTR3C	5.839
ACTR5	-6.247
ACTR6	15.279
ACTR8	-0.222
ACTRT1	-11.951
ACTRT2	-7.150
ACTRT3	-3.618
ACVR1	-11.386
ACVR1B	-9.535
ACVR1C	-9.414
ACVR2A	-3.815
ACVR2B	-11.536
ACVRL1	-16.138
ACY1	-9.800
ACY3	-4.759
ACYP1	-5.714
ACYP2	-4.381
ADA	-3.421
ADAD1	-3.452
ADAD2	-9.043
ADAL	-1.974
ADAM10	-5.906
ADAM11	-8.521
ADAM12	-10.854
ADAM15	-8.463
ADAM17	-6.656
ADAM18	-9.717
ADAM19	-10.395
ADAM2	2.770
ADAM20	-8.691
ADAM21	-9.934
ADAM22	-10.257
ADAM23	-3.979
ADAM28	-10.515
ADAM29	-5.753
ADAM30	-11.434
ADAM32	-1.061
ADAM33	-4.284
ADAM7	-9.145
ADAM8	-10.680
ADAM9	-9.474
ADAMDEC1	-10.424
ADAMTS1	-9.962
ADAMTS10	0.875
ADAMTS12	-13.265
ADAMTS13	-8.988
ADAMTS14	-3.084
ADAMTS15	-9.834
ADAMTS16	-12.779
ADAMTS17	-11.262
ADAMTS18	-7.743
ADAMTS19	-11.284
ADAMTS2	-9.446
ADAMTS20	-6.962
ADAMTS3	-2.722
ADAMTS4	-9.099
ADAMTS5	-9.137
ADAMTS6	-10.585
ADAMTS7	-13.185
ADAMTS8	-11.773
ADAMTS9	-5.134
ADAMTSL1	-6.295
ADAMTSL2	-12.376
ADAMTSL3	-11.893
ADAMTSL4	-7.109
ADAMTSL5	-2.530
ADAP1	-8.759
ADAP2	-4.775
ADAR	-7.236
ADARB1	-4.877
ADARB2	-12.109
ADAT1	-9.335
ADAT2	-4.239
ADAT3	-2.068
ADC	-6.913
ADCK1	-7.924
ADCK2	-7.218
ADCK3	-8.126
ADCK4	-6.837
ADCK5	-4.103
ADCY1	-10.819
ADCY10	-7.477
ADCY2	-6.503
ADCY3	-10.479
ADCY4	-9.800
ADCY5	-6.293
ADCY6	-6.306
ADCY7	-12.173
ADCY8	-9.042
ADCY9	-8.624
ADCYAP1	-11.216
ADCYAP1R1	-9.662
ADD1	-2.149
ADD2	-10.030
ADD3	-7.871
ADH1A	-4.166
ADH1B	-10.708
ADH4	-12.594
ADH5	1.016
ADH6	-4.122
ADH7	-11.947
ADHFE1	-3.650
ADI1	2.257
ADIG	-7.351
ADIPOQ	-7.571
ADIPOR1	-11.487
ADIPOR2	-7.039
ADIRF	-10.235
ADK	-6.541
ADM	-12.789
ADM2	-11.278
ADM5	-3.036
ADNP	-7.983
ADNP2	-1.593
ADO	-10.406
ADORA1	-0.299
ADORA2A	-7.008
ADORA2B	-13.292
ADORA3	-21.377
ADPGK	-5.940
ADPRH	-9.114
ADPRHL1	-10.263
ADPRHL2	-9.756
ADPRM	-8.542
ADRA1A	-13.220
ADRA1B	-7.400
ADRA1D	-11.339
ADRA2A	-9.629
ADRA2B	-11.503
ADRA2C	-9.865
ADRB1	-12.718
ADRB2	-5.095
ADRB3	-13.780
ADRBK1	-9.991
ADRBK2	-8.279
ADRM1	-3.865
ADSL	21.528
ADSS	5.362
ADSSL1	-4.700
ADTRP	-13.416
AEBP1	-8.509
AEBP2	-6.534
AEN	-7.229
AES	-8.569
AFAP1	-7.893
AFAP1L1	-7.586
AFAP1L2	-10.027
AFF1	-7.776
AFF2	-2.378
AFF3	-9.137
AFF4	-5.524
AFG3L2	0.643
AFM	-6.297
AFMID	-7.708
AFP	-3.805
AFTPH	-4.078
AGA	-10.214
AGAP1	-6.308
AGAP2	-5.438
AGAP3	-12.289
AGAP5	-2.320
AGAP6	-3.874
AGAP7	-2.944
AGBL1	-9.304
AGBL2	-12.096
AGBL3	1.270
AGBL4	-10.695
AGBL5	-11.437
AGER	-3.007
AGFG1	-0.387
AGFG2	-5.584
AGGF1	-2.717
AGK	-1.477
AGL	-2.286
AGMAT	-9.457
AGMO	-11.988
AGO1	-16.489
AGO2	-6.099
AGO3	-5.697
AGO4	-11.299
AGPAT1	-7.833
AGPAT2	-2.523
AGPAT3	-11.575
AGPAT4	-11.886
AGPAT5	-12.630
AGPAT6	-7.068
AGPAT9	-9.981
AGPS	-8.988
AGR2	-5.630
AGR3	4.871
AGRN	-13.753
AGRP	-11.422
AGT	-11.507
AGTPBP1	-9.559
AGTR1	-11.729
AGTR2	-2.267
AGTRAP	-16.420
AGXT	-10.653
AGXT2	-12.422
AHCTF1	2.382
AHCY	2.692
AHCYL1	-4.610
AHCYL2	-5.252
AHDC1	-13.148
AHI1	-6.839
AHNAK	-4.624
AHNAK2	-13.461
AHR	-8.205
AHRR	-9.863
AHSA1	-8.129
AHSA2	-8.947
AHSG	-9.141
AHSP	-5.332
AICDA	-11.690
AIDA	-6.160
AIF1	-6.924
AIF1L	-11.641
AIFM1	-7.980
AIFM2	-5.402
AIFM3	-13.007
AIG1	-6.807
AIM1	-12.533
AIM2	-6.631
AIMP1	-7.368
AIMP2	-5.190
AIP	-16.087
AIPL1	-7.878
AIRE	-8.354
AJAP1	-11.555
AJUBA	-24.535
AK1	-0.676
AK2	-2.084
AK3	-8.021
AK4	1.078
AK5	-6.195
AK6	1.481
AK7	-13.758
AK8	-3.108
AK9	-5.855
AKAP1	-6.482
AKAP10	-7.250
AKAP11	-11.540
AKAP12	-7.305
AKAP13	-7.759
AKAP14	-11.203
AKAP17A	-4.702
AKAP2	-8.989
AKAP3	0.508
AKAP4	-10.818
AKAP5	-4.640
AKAP6	-7.991
AKAP7	-13.045
AKAP8	-11.633
AKAP8L	-7.537
AKAP9	-6.368
AKIP1	-2.453
AKIRIN1	0.960
AKIRIN2	7.661
AKNA	-5.700
AKNAD1	1.078
AKR1A1	-13.194
AKR1B1	-2.434
AKR1B10	-0.785
AKR1B15	6.099
AKR1C1	-2.221
AKR1C2	-2.362
AKR1C3	-6.683
AKR1C4	-9.012
AKR1D1	-0.052
AKR1E2	-8.770
AKR7A2	-4.208
AKR7A3	-4.958
AKT1	-10.045
AKT1S1	-11.550
AKT2	-8.458
AKT3	-5.096
AKTIP	3.397
ALAD	-10.543
ALAS1	-5.675
ALAS2	-3.980
ALB	-10.002
ALCAM	-6.008
ALDH16A1	-9.681
ALDH18A1	-11.417
ALDH1A1	-12.894
ALDH1A2	-4.304
ALDH1A3	-10.119
ALDH1B1	-11.951
ALDH1L1	-11.226
ALDH1L2	-5.440
ALDH2	-8.152
ALDH3A1	-14.392
ALDH3A2	-8.415
ALDH3B2	-13.523
ALDH4A1	-9.154
ALDH5A1	-7.286
ALDH6A1	-5.862
ALDH7A1	-8.819
ALDH8A1	-12.365
ALDH9A1	-6.139
ALDOA	-1.732
ALDOB	-6.099
ALDOC	-6.744
ALG1	1.734
ALG10	-1.610
ALG10B	2.671
ALG11	13.808
ALG12	-11.616
ALG13	6.161
ALG14	0.214
ALG1L	2.284
ALG2	9.599
ALG3	-10.661
ALG5	0.509
ALG6	-2.032
ALG8	-2.587
ALG9	-8.370
ALK	-12.667
ALKBH1	-6.907
ALKBH2	-12.750
ALKBH3	-2.985
ALKBH4	-0.448
ALKBH5	-6.604
ALKBH6	-6.267
ALKBH7	-9.878
ALKBH8	-9.791
ALLC	-4.144
ALMS1	-4.189
ALOX12	-11.561
ALOX12B	-8.926
ALOX15	-8.400
ALOX15B	-5.978
ALOX5	-5.232
ALOX5AP	-8.539
ALOXE3	-8.100
ALPI	-6.818
ALPK1	-9.330
ALPK2	-9.427
ALPK3	-1.880
ALPL	-7.481
ALPP	-4.484
ALPPL2	-5.779
ALS2	-5.615
ALS2CL	-15.205
ALS2CR11	-2.700
ALS2CR12	-6.346
ALX1	-11.874
ALX3	-5.104
ALX4	-12.548
ALYREF	19.313
AMACR	-5.262
AMBN	-3.066
AMBP	-9.700
AMBRA1	-12.821
AMD1	8.786
AMDHD1	-1.721
AMDHD2	-1.594
AMELX	-7.215
AMELY	-8.729
AMER1	-11.465
AMER2	-6.532
AMER3	-8.077
AMFR	-13.133
AMH	-7.208
AMHR2	-11.168
AMICA1	-6.279
AMIGO1	-10.484
AMIGO2	-11.281
AMIGO3	-13.328
AMMECR1	-8.395
AMMECR1L	-7.540
AMN	-12.441
AMN1	-10.489
AMOT	-9.890
AMOTL1	-11.582
AMOTL2	-12.544
AMPD1	-4.398
AMPD2	-10.591
AMPD3	-13.887
AMPH	-9.085
AMT	-9.365
AMTN	-5.372
AMY1B	1.535
AMY2A	-6.163
AMY2B	-1.846
AMZ1	-11.329
AMZ2	-2.019
ANAPC1	9.176
ANAPC10	21.097
ANAPC11	-0.763
ANAPC13	-5.827
ANAPC15	-13.002
ANAPC16	1.754
ANAPC2	0.501
ANAPC4	7.851
ANAPC5	4.217
ANAPC7	-11.047
ANG	-6.616
ANGEL1	-7.224
ANGEL2	-0.825
ANGPT1	3.881
ANGPT2	-12.351
ANGPT4	-10.577
ANGPTL1	-6.620
ANGPTL2	-9.878
ANGPTL3	-2.853
ANGPTL4	-6.215
ANGPTL5	2.709
ANGPTL6	-7.566
ANGPTL7	-6.579
ANHX	-10.111
ANK1	-30.232
ANK2	-6.914
ANK3	-10.797
ANKAR	-9.243
ANKDD1A	-7.150
ANKDD1B	-8.230
ANKEF1	-8.532
ANKFN1	-15.671
ANKFY1	-7.581
ANKH	-9.735
ANKHD1	-5.875
ANKHD1-EIF4EBP3	-10.444
ANKIB1	-12.193
ANKK1	-6.126
ANKLE1	-11.147
ANKLE2	14.412
ANKMY1	-7.838
ANKMY2	6.781
ANKRA2	4.396
ANKRD1	0.796
ANKRD10	-9.096
ANKRD11	-6.832
ANKRD12	-3.643
ANKRD13A	-13.581
ANKRD13B	-1.606
ANKRD13C	-8.605
ANKRD13D	-11.485
ANKRD16	-13.952
ANKRD17	-4.438
ANKRD18A	-2.577
ANKRD2	-11.066
ANKRD22	-2.234
ANKRD23	-0.951
ANKRD24	-5.418
ANKRD26	-10.916
ANKRD27	-3.414
ANKRD28	-1.725
ANKRD29	-13.343
ANKRD30A	-6.863
ANKRD30B	-3.470
ANKRD31	-11.565
ANKRD32	-6.567
ANKRD33	-10.719
ANKRD33B	-3.905
ANKRD34A	-17.770
ANKRD34B	-0.664
ANKRD34C	-7.792
ANKRD35	-10.641
ANKRD36	6.697
ANKRD37	-10.976
ANKRD39	-8.276
ANKRD40	-2.188
ANKRD42	-6.278
ANKRD44	-10.313
ANKRD45	-9.793
ANKRD46	-8.697
ANKRD49	-4.500
ANKRD50	-6.432
ANKRD52	-5.882
ANKRD53	-12.460
ANKRD54	1.034
ANKRD55	-14.600
ANKRD6	-13.396
ANKRD61	-15.182
ANKRD62	-11.855
ANKRD65	-2.527
ANKRD66	-3.405
ANKRD7	-7.943
ANKRD9	-14.047
ANKS1A	-10.748
ANKS1B	-20.719
ANKS3	-11.377
ANKS4B	-11.665
ANKS6	-10.455
ANKZF1	-5.414
ANLN	-12.340
ANO1	-12.874
ANO10	-7.668
ANO3	-4.788
ANO4	-7.445
ANO5	-9.262
ANO6	-11.173
ANO7	-9.115
ANO8	-8.716
ANO9	-13.682
ANP32A	-7.275
ANP32B	5.814
ANP32D	-1.350
ANP32E	-5.300
ANPEP	-10.540
ANTXR1	1.615
ANTXR2	-0.569
ANTXRL	-1.299
ANXA1	-9.594
ANXA10	-2.456
ANXA11	-7.927
ANXA13	-4.666
ANXA2	-9.616
ANXA2R	-4.841
ANXA3	2.067
ANXA4	-11.423
ANXA5	-10.016
ANXA6	-15.480
ANXA7	-2.546
ANXA8	-5.064
ANXA8L1	-1.691
ANXA8L2	-2.049
ANXA9	-13.077
AOAH	-11.178
AOC1	-7.460
AOC2	-6.365
AOC3	-8.374
AOX1	-7.762
AP1AR	-11.101
AP1B1	-4.064
AP1G1	-1.846
AP1G2	-7.455
AP1M1	-1.836
AP1M2	-10.232
AP1S1	-8.241
AP1S2	9.828
AP1S3	-8.085
AP2A1	0.489
AP2A2	-4.226
AP2B1	2.265
AP2M1	25.001
AP2S1	12.492
AP3B1	0.636
AP3B2	-9.704
AP3D1	-7.684
AP3M1	-5.220
AP3M2	-1.781
AP3S1	6.714
AP3S2	-5.965
AP4B1	-6.416
AP4E1	-4.008
AP4M1	-11.693
AP4S1	-1.052
AP5B1	-4.318
AP5M1	-7.118
AP5S1	-10.122
AP5Z1	-3.717
APAF1	-9.444
APBA1	-13.241
APBA2	-8.917
APBA3	-10.609
APBB1	-4.851
APBB1IP	-8.627
APBB2	-18.663
APBB3	-9.690
APC	-2.647
APC2	-9.038
APCDD1	-9.902
APCDD1L	-6.818
APCS	-0.548
APEH	-4.828
APEX1	-2.694
APEX2	-9.167
APH1A	-2.622
APH1B	-13.787
API5	-3.976
APIP	7.954
APITD1	-5.453
APITD1-CORT	-4.403
APLF	-8.997
APLN	0.207
APLNR	-14.246
APLP1	-1.730
APLP2	-4.460
APMAP	-13.862
APOA1	-4.315
APOA1BP	-10.382
APOA2	-10.723
APOA4	-10.805
APOA5	-10.024
APOB	-8.406
APOBEC1	-5.258
APOBEC2	-6.664
APOBEC3A	-2.024
APOBEC3B	-10.658
APOBEC3C	0.081
APOBEC3D	-10.627
APOBEC3F	-10.128
APOBEC3G	-8.011
APOBEC3H	-4.310
APOBEC4	-3.012
APOBR	-7.360
APOC1	-3.858
APOC2	-4.694
APOC3	-9.660
APOC4	-8.039
APOD	-10.676
APOE	-6.216
APOF	0.784
APOH	-7.503
APOL1	1.534
APOL2	-2.968
APOL3	1.167
APOL5	-2.088
APOL6	-10.153
APOLD1	-2.236
APOM	-7.784
APOO	-9.596
APOOL	3.508
APOPT1	-2.095
APP	-11.915
APPBP2	-2.942
APPL1	-3.052
APPL2	-6.938
APRT	-6.239
APTX	-2.971
AQP1	-7.321
AQP10	-5.790
AQP11	-10.353
AQP12B	-2.676
AQP2	-9.838
AQP3	-8.881
AQP4	-7.522
AQP5	-15.314
AQP6	-7.696
AQP7	-6.670
AQP8	-7.011
AQP9	-5.139
AQPEP	-17.007
AQR	18.870
AR	-7.248
ARAF	-12.308
ARAP1	-7.894
ARAP2	-2.599
ARAP3	-12.081
ARC	-8.873
ARCN1	16.037
AREG	-10.668
AREL1	-6.469
ARF1	-2.443
ARF3	3.242
ARF4	35.294
