GENE	BF
A1BG	-8.4765
A1CF	-2.5985
A2M	-17.5205
A2ML1	-1.9585
A3GALT2	-14.2525
A4GALT	-8.5885
A4GNT	-7.1434999999999995
AAAS	-11.2455
AACS	-15.1235
AADAC	-5.5705
AADACL2	-5.2795000000000005
AADACL3	-8.5215
AADACL4	-7.0135000000000005
AADAT	1.6045000000000003
AAED1	-8.7605
AAGAB	-6.1145
AAK1	-12.4365
AAMDC	-10.5335
AAMP	11.3865
AANAT	-11.0055
AAR2	-3.2355
AARD	-8.8925
AARS	18.9355
AARS2	-8.0245
AARSD1	-7.2475000000000005
AASDH	-8.5745
AASDHPPT	-8.8985
AASS	-11.4175
AATF	0.6615000000000002
AATK	-12.1145
ABAT	-12.0295
ABCA1	-9.2295
ABCA10	-4.0344999999999995
ABCA12	-9.5415
ABCA13	-12.4945
ABCA2	-7.8934999999999995
ABCA3	-18.9775
ABCA4	-10.977500000000001
ABCA5	-5.9795
ABCA6	-9.6545
ABCA7	-14.685500000000001
ABCA8	-6.2745
ABCA9	-6.3565000000000005
ABCB1	-5.4185
ABCB10	-10.9605
ABCB11	-5.7485
ABCB4	-13.493500000000001
ABCB5	-2.4325
ABCB6	-6.3825
ABCB7	9.5985
ABCB8	-17.7025
ABCB9	-19.0045
ABCC1	-5.7255
ABCC10	-7.233499999999999
ABCC11	-14.1995
ABCC12	-9.8485
ABCC2	-8.2995
ABCC3	-18.772499999999997
ABCC4	-15.4905
ABCC5	-5.294499999999999
ABCC6	-14.198500000000001
ABCC8	-13.9395
ABCC9	-12.9595
ABCD1	-13.5375
ABCD2	-3.6574999999999998
ABCD3	-7.000500000000001
ABCD4	-5.8385
ABCE1	40.3385
ABCF1	5.5085
ABCF2	-1.6835
ABCF3	-13.1325
ABCG1	-7.3695
ABCG2	-11.7875
ABCG4	-10.8925
ABCG5	-11.9525
ABCG8	-13.8735
ABHD1	-7.781499999999999
ABHD10	-6.461499999999999
ABHD11	-7.294499999999999
ABHD12	-8.7645
ABHD12B	-7.9415
ABHD13	-2.0825
