CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
1	871254	22333930	1257	-0.2014	1, 1257
1	22405055	22413220	5	-2.7766	1258, 1262
1	22447998	23885834	85	-0.0788	1263, 1347
1	24019204	24021256	5	-4.2237	1348, 1352
1	24070053	26751873	239	-0.2307	1353, 1591
1	26764677	26786564	5	-3.7068	1592, 1596
1	26800604	32687538	381	-0.3258	1597, 1977
1	32691797	38411472	398	-0.5544	1978, 2375
1	38446321	38455241	5	-5.1597	2376, 2380
1	38463699	120506270	2653	-0.4539	2381, 5033
1	120508123	144916661	17	-2.2299	5034, 5050
1	144918843	151342004	415	-0.7955	5051, 5465
1	151372175	151400751	9	-2.3485	5466, 5474
1	151400856	161298231	1253	-0.5378	5475, 6727
1	161298265	161332220	8	-3.1141	6728, 6735
1	161335314	163138115	125	-0.3214	6736, 6860
1	163295942	163307855	3	-3.7208	6861, 6863
1	163309227	193066847	754	-0.5466	6864, 7617
1	193070290	193111100	6	-3.1248	7618, 7623
1	193150073	204438704	402	-0.5205	7624, 8025
1	204495502	204518607	13	-2.7878	8026, 8038
1	204518642	212194564	329	-0.4027	8039, 8367
1	212220505	212241971	5	-3.1926	8368, 8372
1	212502585	226179022	326	-0.5524	8373, 8698
1	226180624	226186931	4	-4.2892	8699, 8702
1	226252166	235420496	319	-0.4612	8703, 9021
1	235505385	235505584	4	-4.3105	9022, 9025
1	235505703	249212038	277	-0.6131	9026, 9302
2	46045	3604446	70	-0.1889	9303, 9372
2	3623456	3625365	3	-4.3903	9373, 9375
2	3687904	9554362	54	-0.2704	9376, 9429
2	9570039	9581999	5	-3.0157	9430, 9434
2	9618377	10220249	35	-0.5014	9435, 9469
2	10263116	10267281	5	-4.2024	9470, 9474
2	10282406	62081072	1274	-0.4555	9475, 10748
2	62104101	62132910	6	-4.1232	10749, 10754
2	62132929	65325207	81	-0.4101	10755, 10835
2	65473698	65480892	5	-3.5286	10836, 10840
2	65543913	73475007	263	-0.4308	10841, 11103
2	73476114	73477490	3	-3.9047	11104, 11106
2	73477484	85662904	284	-0.2792	11107, 11390
2	85768799	85769386	5	-3.1557	11391, 11395
2	85781383	85839037	28	-0.2524	11396, 11423
2	85850856	85850908	2	-5.5016	11424, 11425
2	85852708	96933069	210	-0.4434	11426, 11635
2	96933095	97399321	29	-1.7019	11636, 11664
2	97400144	101591357	181	-0.3957	11665, 11845
2	101619261	101620644	2	-5.4625	11846, 11847
2	101650171	128459553	534	-0.4138	11848, 12381
2	128522482	128610609	9	-3.3934	12382, 12390
2	128610628	136624268	177	-0.5279	12391, 12567
2	136627901	136690410	5	-4.4483	12568, 12572
2	136740965	162224067	271	-0.3275	12573, 12843
2	162226662	162242093	4	-2.7293	12844, 12847
2	162273087	169707813	125	-0.3007	12848, 12972
2	169732604	169745940	4	-3.472	12973, 12976
2	169745941	172411136	106	-0.3411	12977, 13082
2	172563874	172583319	5	-2.7805	13083, 13087
2	172671657	180348041	242	-0.2125	13088, 13329
2	180835456	180851512	5	-2.7754	13330, 13334
2	181846932	187370506	73	-0.3474	13335, 13407
2	187487123	187503193	3	-4.4622	13408, 13410
2	187505637	198001390	193	-0.4557	13411, 13603
2	198285771	198413085	20	-2.112	13604, 13623
2	198413132	203075466	159	-0.2936	13624, 13782
2	203075491	203329643	11	-2.459	13783, 13793
2	203383544	217364107	303	-0.3727	13794, 14096
2	217364675	217364712	2	-6.8224	14097, 14098
2	217498464	219127880	37	-0.2161	14099, 14135
2	219131229	219132301	3	-2.9109	14136, 14138
2	219134119	223386657	266	-0.1091	14139, 14404
2	223497956	223553146	6	-2.7653	14405, 14410
2	223554037	231927039	189	-0.0998	14411, 14599
2	231927233	231944286	4	-3.8441	14600, 14603
2	231974089	242814479	484	-0.1493	14604, 15087
3	369847	57542841	2082	-0.2224	15088, 17169
3	57563095	57570195	5	-4.0881	17170, 17174
3	57632081	63973946	111	-0.1268	17175, 17285
3	64004621	64005070	3	-4.2453	17286, 17288
3	64007992	64008045	2	-0.9735	17289, 17290
3	64133054	69058885	50	0.0877	17291, 17340
3	69096844	69988333	26	-0.6582	17341, 17366
3	69998204	70008484	4	-3.9541	17367, 17370
3	71064775	101395539	259	-0.3145	17371, 17629
3	101395605	101445585	5	-2.5722	17630, 17634
3	101446240	113442315	226	-0.2436	17635, 17860
3	113442343	113505141	8	-4.3245	17861, 17868
3	113627797	127642833	454	-0.2632	17869, 18322
3	127774511	127831809	10	-2.5133	18323, 18332
3	127872481	139069067	395	-0.3283	18333, 18727
3	139088193	139096905	4	-3.4605	18728, 18731
3	139098252	142136009	82	-0.1176	18732, 18813
3	142151576	142285064	6	-2.4144	18814, 18819
3	142395051	155571633	296	-0.1784	18820, 19115
3	155611395	155628919	5	-3.6771	19116, 19120
3	156139399	179137231	383	-0.3282	19121, 19503
3	179137277	179294444	6	-3.547	19504, 19509
3	179310507	196612969	611	-0.2994	19510, 20120
3	196664414	196666270	7	-3.6004	20121, 20127
3	196674899	197707217	48	-0.3778	20128, 20175
4	265908	57843392	1173	-0.2791	20176, 21348
4	57857003	57876606	5	-3.5687	21349, 21353
4	57976128	120528383	1246	-0.3731	21354, 22599
4	120982079	120986962	5	-4.9544	22600, 22604
4	121738063	145628315	304	-0.4432	22605, 22908
4	145916714	146038543	10	-3.6871	22909, 22918
4	146067408	190876209	728	-0.3902	22919, 23646
5	143220	26988329	325	-0.1269	23647, 23971
5	31294203	74880665	882	-0.6715	23972, 24853
5	74880729	79855732	165	-0.3085	24854, 25018
5	79933733	79945263	3	-3.539	25019, 25021
5	79945298	81474407	35	-0.3259	25022, 25056
5	81572231	81573563	4	-5.0781	25057, 25060
5	81573563	87521648	48	-1.1005	25061, 25108
5	88027684	112174650	266	-0.4006	25109, 25374
5	112198245	112200367	6	-3.3847	25375, 25380
5	112238142	133304154	421	-0.3465	25381, 25801
5	133316534	133536142	13	-1.9117	25802, 25814
5	133537532	137501682	164	-0.2602	25815, 25978
5	137504955	137548874	14	-2.0943	25979, 25992
5	137593593	137802916	30	-0.2949	25993, 26022
5	137847176	138119004	11	-2.5727	26023, 26033
5	138160229	180687573	1715	-0.3261	26034, 27748
6	311927	5086242	146	-0.1375	27749, 27894
6	5216849	5260902	4	-2.9321	27895, 27898
6	5369051	8428247	77	-0.5123	27899, 27975
6	10404912	10410414	5	-2.8778	27976, 27980
6	10529262	10687392	20	-0.6121	27981, 28000
6	10697697	10704770	5	-3.3607	28001, 28005
6	10726170	26022026	352	-0.5572	28006, 28357
6	26022029	27833325	272	-1.2433	28358, 28629
6	27834883	31760774	537	-0.5627	28630, 29166
6	31762678	31765831	5	-3.7786	29167, 29171
6	31766252	35424080	434	-0.5883	29172, 29605
6	35436786	35438036	4	-3.9676	29606, 29609
6	35438052	36492229	104	-0.4194	29610, 29713
6	36564656	36566718	4	-3.8888	29714, 29717
6	36651970	44329590	546	-0.4844	29718, 30263
6	44360480	44364129	4	-3.1092	30264, 30267
6	44376230	52288946	191	-0.4786	30268, 30458
6	52303270	111306301	900	-0.3151	30459, 31358
6	111310245	111320952	3	-4.3947	31359, 31361
6	111329267	133108718	495	-0.2234	31362, 31856
6	133136162	133138129	4	-4.2067	31857, 31860
