GENE	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
A1BG	-8.4765	-2.9905	-3.5939999999999994	-1.8175	-6.768000000000001	-5.263	-5.4085	-9.0095	-11.2065	-6.946
A1CF	-2.5985	-14.0635	5.748	0.4415000000000002	-5.775	0.21899999999999997	-1.8415	1.8365	-3.2765	-3.997
A2M	-17.5205	-16.791500000000003	-15.72	-10.7345	-13.099	-13.523	-6.7875	-12.1185	-13.882500000000002	-13.636
A2ML1	-1.9585	-15.7815	-9.474	-9.4585	-10.76	-8.638	-7.0634999999999994	-13.1985	-14.664500000000002	-16.134999999999998
A3GALT2	-14.2525	-10.7255	-6.711	-4.5065	-2.737	-1.2560000000000002	-1.3325000000000002	-7.2955	-3.0624999999999996	-8.475
A4GALT	-8.5885	-6.7684999999999995	-5.545	-5.5344999999999995	-5.926	-3.966	-6.2785	-8.8205	-8.1745	-9.496
A4GNT	-7.1434999999999995	-12.2185	-14.777	-1.7354999999999998	-9.272	-10.793	-6.1135	-13.4135	-6.070500000000001	-13.973
AAAS	-11.2455	-8.3475	-9.829	-5.8105	-10.476	-8.836	-9.0555	-12.3715	-8.4705	-16.130000000000003
AACS	-15.1235	-18.6945	-11.127	-3.3715	-5.618	-15.538000000000002	-4.1565	-10.0445	-9.8375	-4.918
AADAC	-5.5705	-12.8725	-14.035	-12.6995	-8.963	-14.67	-4.7385	-15.118499999999996	-15.0385	-19.576
AADACL2	-5.2795000000000005	-9.4025	0.889	-13.488499999999998	-4.25	-5.207	-2.8785000000000003	-6.8495	-14.565500000000002	-4.289000000000001
AADACL3	-8.5215	-12.7605	-10.214	-3.4235	-5.839	-8.313	-0.13250000000000028	-9.1285	-3.2224999999999997	-10.784
AADACL4	-7.0135000000000005	-18.838500000000003	-14.525999999999998	-7.6625	-13.684	-13.413	-8.4375	-12.3125	-16.540499999999998	-15.412999999999998
AADAT	1.6045000000000005	-6.2265	-10.734	-2.0235	3.719	-7.422999999999999	-3.3705000000000003	-3.4905	-10.4875	-9.308
AAED1	-8.7605	-14.1215	-15.749	-10.956499999999998	-10.211	-4.742999999999999	-8.6225	-17.4625	-14.5645	-14.286
AAGAB	-6.1145	-7.0495	-9.864	-11.1985	-4.948	-10.182	-6.628500000000001	-4.8485000000000005	-7.907500000000001	-9.587
AAK1	-12.4365	-13.7305	-13.264	-6.0045	-12.827	-6.648	-9.6415	-12.9945	-10.6635	-13.478
AAMDC	-10.5335	-13.8985	-15.97	-4.2735	-9.64	-15.411	-5.3774999999999995	-12.107500000000002	-4.708499999999999	-22.798
AAMP	11.3865	46.1625	29.423	9.540500000000002	22.469	24.426	1.6454999999999995	39.0855	37.5985	35.355
AANAT	-11.0055	-12.5415	-11.1	-6.9435	-10.058	-10.891	-7.3125	-10.2425	-18.1345	-15.789
AAR2	-3.2355	-15.0105	-10.72	-10.9685	-14.301	-11.241	-5.7275	-12.9665	-16.853499999999997	-12.993
AARD	-8.8925	-10.5265	-8.337	-4.028499999999999	-2.778	-3.756	-3.1105	-32.7455	-18.2035	-9.3
AARS	18.9355	67.5755	73.60900000000001	9.1125	46.175	70.17200000000001	15.2455	80.3235	74.6825	75.789
AARS2	-8.0245	3.1145	-10.967	-7.1445	-1.879	5.86	-4.141500000000001	-2.0235000000000003	0.05650000000000022	-2.7110000000000003
AARSD1	-7.2475	-8.3575	-4.5169999999999995	-4.419499999999999	-4.3100000000000005	-9.662	-0.6845000000000003	-10.3265	-9.2885	-13.317
AASDH	-8.5745	-13.9075	-9.85	-4.2524999999999995	-1.034	-12.108	-1.8015	-9.9335	-8.560500000000001	-10.434
