GENE	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
A1BG	-6.639	-2.633	-5.148	-0.298	-7.139	-6.139	-2.674	-12.378	-14.401	-9.02
A1CF	-0.761	-13.706	4.194	1.961	-6.146	-0.657	0.893	-1.532	-6.471	-6.071
A2M	-15.683	-16.434	-17.274	-9.215	-13.47	-14.399	-4.053	-15.487	-17.077	-15.71
A2ML1	-0.121	-15.424	-11.028	-7.939	-11.131	-9.514	-4.329	-16.567	-17.859	-18.209
A3GALT2	-12.415	-10.368	-8.265	-2.987	-3.108	-2.132	1.402	-10.664	-6.257	-10.549
A4GALT	-6.751	-6.411	-7.099	-4.015	-6.297	-4.842	-3.544	-12.189	-11.369	-11.57
A4GNT	-5.306	-11.861	-16.331	-0.216	-9.643	-11.669	-3.379	-16.782	-9.265	-16.047
AAAS	-9.408	-7.99	-11.383	-4.291	-10.847	-9.712	-6.321	-15.74	-11.665	-18.204
AACS	-13.286	-18.337	-12.681	-1.852	-5.989	-16.414	-1.422	-13.413	-13.032	-6.992
AADAC	-3.733	-12.515	-15.589	-11.18	-9.334	-15.546	-2.004	-18.487	-18.233	-21.65
AADACL2	-3.442	-9.045	-0.665	-11.969	-4.621	-6.083	-0.144	-10.218	-17.76	-6.363
AADACL3	-6.684	-12.403	-11.768	-1.904	-6.21	-9.189	2.602	-12.497	-6.417	-12.858
AADACL4	-5.176	-18.481	-16.08	-6.143	-14.055	-14.289	-5.703	-15.681	-19.735	-17.487
AADAT	3.442	-5.869	-12.288	-0.504	3.348	-8.299	-0.636	-6.859	-13.682	-11.382
AAED1	-6.923	-13.764	-17.303	-9.437	-10.582	-5.619	-5.888	-20.831	-17.759	-16.36
AAGAB	-4.277	-6.692	-11.418	-9.679	-5.319	-11.058	-3.894	-8.217	-11.102	-11.661
AAK1	-10.599	-13.373	-14.818	-4.485	-13.198	-7.524	-6.907	-16.363	-13.858	-15.552
AAMDC	-8.696	-13.541	-17.524	-2.754	-10.011	-16.287	-2.643	-15.476	-7.903	-24.872
AAMP	13.224	46.52	27.869	11.06	22.098	23.55	4.38	35.717	34.404	33.281
AANAT	-9.168	-12.184	-12.654	-5.424	-10.429	-11.767	-4.578	-13.611	-21.329	-17.863
AAR2	-1.398	-14.653	-12.274	-9.449	-14.672	-12.117	-2.993	-16.335	-20.048	-15.067
AARD	-7.055	-10.169	-9.891	-2.509	-3.149	-4.632	-0.376	-36.114	-21.398	-11.374
AARS	20.773	67.933	72.055	10.632	45.804	69.296	17.98	76.955	71.488	73.715
AARS2	-6.187	3.472	-12.521	-5.625	-2.25	4.984	-1.407	-5.392	-3.138	-4.785
AARSD1	-5.41	-8	-6.071	-2.9	-4.681	-10.538	2.05	-13.695	-12.483	-15.391
AASDH	-6.737	-13.55	-11.404	-2.733	-1.405	-12.984	0.933	-13.302	-11.755	-12.508
AASDHPPT	-7.061	-9.002	-14.773	-6.496	-19.573	-8.852	-4.954	-8.263	-5.791	-13.121
AASS	-9.58	-11.38	-8.26	-7.588	-4.258	-3.602	-1.416	-13.679	-8.971	-10.644
AATF	2.499	14.766	9.761	7.307	8.58	4.406	-0.658	-3.247	17.21	11.35
AATK	-10.277	-12.839	-17.412	-6.341	-3.888	-9.625	-3.043	-17.17	-18.889	-12.119
ABAT	-10.192	-12.931	-13.053	-2.865	-3.39	-10.195	-4.833	-16.475	-17.251	-16.389
ABCA1	-7.392	-17.05	-11.42	-7.242	-9.292	-8.672	-4.258	-14.073	-16.52	-12.764
ABCA10	-2.197	-18.051	-15.732	-8.236	-13.253	-17.004	-6.616	-14.405	-9.54	-10.934
ABCA12	-7.704	-10.324	-16.435	-4.621	-15.06	-6.755	0.472	-2.894	-8.344	-11.759
ABCA13	-10.657	-20.58	-10.084	-5.575	-10.499	-14.499	-3.328	-18.947	-21.69	-10.039
ABCA2	-6.056	-8.907	-13.837	-4.882	-10.991	-9.213	-1.897	-13.819	-20.021	-12.091
ABCA3	-17.14	-26.878	-24.122	-15.76	-24.421	-22.427	-14.008	-27.858	-29.573	-28.687
ABCA4	-9.14	-11.806	-10.122	-1.369	-5.063	-11.02	0.231	-14.647	-11.679	-12.671
ABCA5	-4.142	-15.402	-10.897	-6.492	-6.699	-10.105	-0.369	-8.553	-4.89	-14.054
ABCA6	-7.817	-13.914	-4.054	-1.507	7.359	-9.305	2.259	-2.527	3.976	-10.736
ABCA7	-12.848	-16.451	-13.796	-8.056	-12.804	-12.398	-5.15	-22.405	-20.442	-17.063
ABCA8	-4.437	-17.244	-14.632	-9.621	-9.024	-12.904	-1.059	-10.199	-13.978	-14.93
ABCA9	-4.519	-12.765	-11.879	-9.194	-7.086	-10.856	-6.932	-11.676	-12.428	-14.382
ABCB1	-3.581	-8.056	0.054	-1.319	-1.055	-5.231	8.306	-11.557	-9.606	-5.914
ABCB10	-9.123	-13.173	-10.363	-9.355	-9.127	-5.691	-1.415	-11.567	-12.021	-13.476
ABCB11	-3.911	-4.765	-11.562	-4.537	-1.719	-5.798	0.533	-4.729	-6.797	-7.882
ABCB4	-11.656	-17.437	-14.304	-7.244	-5.804	-8.456	-1.187	-14.269	-13.568	-12.167
ABCB5	-0.595	-1.057	-14.452	-6.584	-6.704	-11.491	1.85	-18.436	2.264	-5.83
ABCB6	-4.545	-8.28	-15.637	-5.352	-8.088	-8.356	-0.729	-22.574	-17.54	-13.289
ABCB7	11.436	39.567	-7.743	3.17	0.722	-2.162	1.55	5.427	2.795	15.802
ABCB8	-15.865	-12.512	-16.846	-11.329	-10.949	-13.656	1.201	-12.258	-11.685	-12.634
ABCB9	-17.167	-12.994	-14.57	-8.859	-5.769	-12.968	-2.155	-19.336	-14.309	-23.156
ABCC1	-3.888	-15.114	-11.304	-7.292	-13.763	-12.772	-3.158	-17.723	-18.874	-12.404
ABCC10	-5.396	-9.569	-11.041	-5.729	-6.064	-9.258	-4.551	-12.3	-13.525	-13.829
ABCC11	-12.362	-7.025	-14.22	-11.44	-11.353	-10.362	-5.292	-12.221	-11.702	-13.539
ABCC12	-8.011	-11.003	-9.853	-5.882	-12.22	-6.556	-2.06	-12.692	-14.886	-14.083
ABCC2	-6.462	-7.85	-8.518	-13.198	-10.601	-16.087	0.043	-12.445	-13.224	-12.879
ABCC3	-16.935	-17.803	-17.254	-14.356	-14.11	-19.4	-3.7	-19.999	-16.635	-19.579
ABCC4	-13.653	-19.693	-23.558	-10.317	-8.962	-12.665	-2.501	-21.443	-21.988	-12.909
ABCC5	-3.457	-19.666	-15.51	-1.309	-8.302	-14.921	-2.956	-16.228	-25.131	-17.895
ABCC6	-12.361	-8.704	-19.623	-14.308	-5.477	-22.488	-5.461	-22.152	-19.68	-11.544
ABCC8	-12.102	-17.255	-13.399	-10.71	-8.79	-12.971	1.743	-20.828	-20.431	-20.173
ABCC9	-11.122	-11.908	-15.887	-3.192	-7.754	-9.107	-5.74	-17.75	-18.9	-19.885
ABCD1	-11.7	-11.925	-15.662	-6.144	-7.058	-7.186	1.309	-9.558	-15.116	-9.963
ABCD2	-1.82	-10.297	-8.44	-8.236	-5.307	-13.934	-2.631	-16.512	-11.361	-11.905
ABCD3	-5.163	-15.187	-12.473	0.036	-9.803	-8.621	-3.823	-11.159	-18.087	-14.326
ABCD4	-4.001	-16.179	-14.454	-0.223	-7.635	-12.646	-3.176	-9.128	-16.291	-15.188
ABCE1	42.176	82.692	75.978	30.5	48.33	60.765	13.663	128.736	126.936	102.097
ABCF1	7.346	0.376	7.311	9.575	10.058	7.937	4.353	-2.834	0.368	15.582
ABCF2	0.154	-7.144	-5.465	-4.917	-2.562	-8.863	-3.869	-8.464	-3.535	-9.494
ABCF3	-11.295	-16.155	-14.951	-14.028	-12.503	-21.285	-1.621	-19.688	-24.977	-21.227
ABCG1	-5.532	-18.619	-11.973	-15.744	-9.38	-15.772	-1.627	-17.577	-18.51	-20.719
ABCG2	-9.95	-7.35	-9.681	-4.189	-7.007	-11.784	-3.574	-12.811	-13.928	-18.267
ABCG4	-9.055	-15.317	-13.937	-11.354	-8.664	-18.845	-4.884	-19.421	-16.864	-21.791
ABCG5	-10.115	-15.804	-19.268	-9.019	-8.565	-16.563	0.504	-19.062	-21.4	-23.213
ABCG8	-12.036	-15.476	-18.591	-13.215	-12.899	-18.332	-9.299	-19.284	-21.649	-21.535
ABHD1	-5.944	-10.197	-13.129	-9.445	-9.207	-12.597	-1.852	-13.377	-17.556	-14.446
ABHD10	-4.624	-1.638	-5.206	-3.474	-7.286	-5.286	1.978	-8.143	-4.149	-9.546
ABHD11	-5.457	-9.059	-9.873	-6.126	-10.155	-13.126	-2.771	-13.147	-12.024	-11.765
ABHD12	-6.927	-8.361	-13.581	-8.921	-5.197	-9.427	-0.413	-15.51	-5.486	-11.021
ABHD12B	-6.104	-14.836	-18.23	-7.112	-13.354	-14.666	-8.618	-17.45	-20.234	-20.735
ABHD13	-0.245	-13.609	-7.601	-0.471	0.269	-10.905	-1.469	-10.986	-16.608	-10.473
ABHD14A	-6.688	-14.817	-14.862	-6.011	-15.209	-8.294	-3.167	-12.897	-15.238	-16.196
ABHD14B	-5.275	-19.001	-13.285	-7.82	-14.461	-15.336	-3.691	-13.495	-9.388	-15.543
ABHD15	-5.187	-7.16	-12.268	-0.262	-4.017	-5.277	2.576	-10.179	-16.937	-6.337
ABHD16A	-8.783	-17.585	-12.742	-6.995	-10.279	-15.958	-4.672	-20.036	-15.539	-14.218
ABHD16B	-9.82	-16.113	-17.045	-10.079	-7.436	-7.465	-3.867	-18.286	-16.029	-17.515
ABHD17A	0.43	-0.024	-5.894	-3.352	0.162	-6.216	-0.784	-6.455	-12.845	-5.067
ABHD17B	-8.82	-10.48	-16.922	-2.451	-3.288	-9.553	-3.502	-15.339	-14.181	-14.548
ABHD17C	-14.061	-10.38	-12.651	-4.61	-9.468	-10.314	-5.246	-16.78	-19.97	-12.624
ABHD2	-7.321	-15.477	-14.319	-10.084	-8.568	-14.718	-4.1	-12.926	-16.302	-16.456
ABHD3	-5.366	-10.15	-11.29	-5.453	-7.112	-3.455	-0.925	-14.131	-13.923	-9.028
ABHD4	-12.929	-14.826	-13.712	-9.826	-8.886	-14.338	-5.452	-19.432	-27.522	-20.51
ABHD5	-8.785	-12.748	-9.978	-4.333	-10.9	-6.091	-0.63	-10.721	-12.42	-16.534
ABHD6	-12.455	-17.655	-20.198	-7.017	-9.701	-13.086	-6.744	-23.912	-20.165	-18.597
ABHD8	-9.765	-16.127	-18.801	-8.089	-9.958	-10.354	-5.95	-16.38	-16.114	-16.433
ABI1	-6.334	-16.268	-13.578	-4.455	-11.745	-10.834	-3.493	-20.734	-11.198	-14.397
ABI2	-12.841	-11.669	-13.31	-5.493	-9.909	-12.209	-5.004	-13.52	-13.825	-13.496
ABI3	-13.92	-13.513	-12.46	-8.342	-5.579	-17.679	-3.039	-18.879	-10.147	-13.449
ABI3BP	-6.422	-8.179	-6.434	-0.715	-7.17	-11.39	-4.826	-15.862	-11.28	-12.658
ABL1	-10.414	-10.381	-18.672	-9.701	-15.65	-11.891	-3.234	-21.022	-20.755	-19.154
ABL2	-15.926	-12.518	-15.444	-15.192	-14.465	-13.016	-6.198	-15.709	-20.711	-20.116
ABLIM1	-9.694	-10.632	-5.651	-14.269	-13.008	-12.723	-3.14	-14.461	-6.894	-13.143
ABLIM2	-4.369	-16.574	-11.206	-9.562	-0.727	-11.303	-3.341	-15.492	-16.023	-7.578
ABLIM3	-5.287	-10.803	-13.925	-3.709	-2.854	-2.648	-2.737	-15.853	-17.868	-8.242
ABR	-9.398	-27.294	-28.917	-15.847	-15.687	-19.2	-4.974	-35.092	-37.903	-32.168
ABRA	-6.548	-17.323	-20.049	-5.141	-9.353	-16.491	-2.734	-12.49	-20.38	-19.784
ABRACL	-2.252	-9.484	-6.703	-9.014	-8.529	-10.84	-4.006	-9.306	-8.236	-12.444
ABT1	-3.822	10.382	-0.118	4.843	22.509	5.394	-4.197	10.24	9.982	9.279
ABTB1	0.258	-13.223	-12.15	-8.795	-9.26	-10.682	1.084	-12.465	-18.052	-10.081
ABTB2	-12.133	-16.419	-14.813	-5.654	-9.76	-8.503	-5.382	-18.138	-20.013	-16.173
ACAA1	-8.794	-15.486	-12.587	-12.173	-9.982	-12.259	-2.925	-15.05	-15.12	-12.788
ACAA2	-5.746	-16.199	-4.042	-3.429	-4.609	-4.331	0.709	-15.317	-10.412	-11.514
ACACA	-15.119	-19.247	-10.58	1.866	-1.403	0.293	0.029	0.779	-12.199	-8.231
ACACB	-8.277	-19.553	-14.245	-9.282	-10.784	-15.087	-5.126	-13.918	-16.34	-18.581
ACAD10	-9.148	-6.795	-14.886	-5.486	-10.226	-3.042	0.464	-10.526	-8.578	-12.768
ACAD11	-10.537	-17.514	-17.396	-12.805	-6.69	-16.4	-4.9	-23.077	-20.543	-17.17
ACAD8	-2.117	-7.629	-6.146	-0.301	9.771	-0.447	12.332	-1.806	-2.493	0.824
ACAD9	-0.413	0.64	-14.378	-10.945	-10.226	0.388	-2.942	-14.199	-9.11	-8.381
ACADL	-7.107	-15.731	-18.444	-8.116	-10.967	-13.109	-4.68	-18.941	-18.099	-14.582
ACADM	-7.092	-13.476	-13.865	-7.021	-10.549	-10.913	-3.338	-17.169	-15.497	-16.492
ACADS	-10.313	-14.26	-18.309	-5.521	-12.466	-14.302	-5.132	-19.911	-16.477	-14.111
ACADSB	-1.748	0.827	-2.96	-1.175	-10.558	2.165	-4.024	-12.81	-6.848	-17.008
ACADVL	-8.212	-10.494	-15.451	-8.591	-12.248	-14.108	-3.988	-17.162	-13.437	-15.208
