Gene	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
A1BG	0.15245	-0.15532	-0.16108	-0.10149	0.050654	-0.015636	0.055544	0.048376	0.039062	-0.019501
A1CF	-0.36811	0.12006	-0.18331	-0.32625	-0.10923	-0.32109	-0.085717	-0.078136	-0.15131	-0.15879
A2M	0.56436	0.26796	0.27044	0.24029	0.18285	0.21181	0.065411	0.1416	0.14921	0.14561
A2ML1	-0.41509	0.19354	0.0073055	0.20453	0.070096	0.067295	0.092924	0.10596	0.14521	0.18864
A3GALT2	0.22927	0.010724	-0.015801	0.0025565	-0.13965	-0.20109	-0.12291	-0.080184	-0.13569	0.0097056
A4GALT	0.18977	-0.13793	-0.072868	0.10553	0.0076877	-0.11375	0.062403	0.018029	-0.021281	-0.014008
A4GNT	-0.0032664	0.0080987	0.16981	-0.34204	0.087926	0.004433	0.037021	0.044904	-0.075523	0.14512
AAAS	0.21128	0.078471	0.0154	-0.085698	0.027418	-0.046997	0.11309	0.066794	-0.036849	0.1053
AACS	0.40341	0.089072	0.11964	-0.012959	0.040002	0.13027	0.0029323	0.069626	0.075165	-0.092042
AADAC	0.043903	0.096785	0.16975	0.077181	0.11053	0.21861	0.019073	0.20247	0.14992	0.25771
AADACL2	0.084444	0.019339	-0.18975	0.14325	0.0024377	-0.023115	-0.037882	-0.0073472	0.12671	-0.15195
AADACL3	0.10136	0.011317	0.034264	-0.024635	-0.057406	-0.019239	-0.13834	0.0015533	-0.15781	0.031911
AADACL4	0.0034402	0.23593	0.17084	0.15766	0.1479	0.092279	0.11255	0.094375	0.16735	0.1685
AADAT	-0.55341	-0.082403	0.093867	-0.034821	-0.15909	0.016801	-0.060881	-0.051219	0.11002	-0.022441
AAED1	0.15302	0.13681	0.25926	0.13125	0.14954	-0.086618	0.093767	0.13984	0.065614	0.12677
AAGAB	-0.053435	-0.1233	0.053092	0.23875	0.028335	0.053957	0.076586	-0.076815	0.047224	-0.024532
AAK1	0.19325	0.14924	-0.052917	-0.038898	0.071575	-0.1074	0.098916	-0.026528	-0.048714	0.073616
AAMDC	0.10469	0.0099363	0.21719	-0.18545	0.031145	-0.11878	0.04742	0.061219	-0.089873	-0.034596
AAMP	-0.88921	-1.5807	-1.2063	-0.62669	-0.74021	-0.72967	-0.21431	-1.135	-1.0849	-1.1753
AANAT	0.033384	-0.25865	-0.06225	0.0054293	0.037125	-0.052197	0.027096	-0.045678	0.11087	0.012224
AAR2	0.078093	0.16381	0.11047	0.18953	0.123	0.1563	0.025835	0.31855	0.32867	0.10423
AARD	-0.11852	-0.54487	-0.1175	-0.16778	-0.18013	-0.23628	-0.1116	0.015915	0.12026	-0.079798
AARS	-1.3478	-2.1903	-2.2279	-0.79013	-1.3465	-1.8146	-0.61289	-2.1367	-1.702	-2.024
AARS2	-0.10045	-0.73378	0.02396	0.244	-0.034196	-0.31036	0.073811	-0.17325	-0.16623	-0.21825
AARSD1	-0.19456	-0.09267	-0.31521	-0.13052	-0.11541	-0.10017	-0.20725	-0.12784	-0.093564	0.072701
AASDH	0.042186	0.049849	-0.11651	-0.02448	-0.10921	-0.079343	-0.10521	-0.090312	0.0043133	-0.085111
AASDHPPT	-0.12436	-0.051045	0.09478	-0.056835	0.32311	-0.17642	0.17258	-0.11302	-0.26997	0.030441
AASS	0.2013	-0.056055	-0.25513	0.22565	-0.10454	-0.10041	-0.076908	-0.018587	-0.11618	-0.042037
AATF	-0.45684	-0.71515	-0.82822	-0.39463	-0.43334	-0.35363	-0.045145	-0.61768	-0.65914	-0.65364
AATK	0.12282	-0.58774	-0.068647	0.078268	-0.11524	-0.099438	-0.019572	-0.14776	-0.04299	-0.27036
ABAT	0.24444	0.03915	0.028112	-0.086165	-0.083765	-0.053392	0.06245	0.08542	0.11112	-0.07088
ABCA1	0.040947	0.17763	0.10785	0.051107	0.08121	-0.0055397	0.051792	0.023789	-0.019223	0.011807
ABCA10	-0.40958	-0.051384	0.0080954	0.14801	0.12653	0.078175	0.11677	0.042928	0.015385	-0.091983
ABCA12	0.19874	0.064607	0.24815	-0.071337	0.18566	0.0044934	-0.05589	-0.033024	-0.061644	0.11094
ABCA13	0.31335	0.17181	-0.041616	0.08071	0.023225	0.14618	0.03997	0.1906	0.21495	0.057931
ABCA2	0.018533	-0.011711	0.13874	-0.11842	0.056309	0.02469	-0.018352	-0.062569	0.046108	-0.016401
ABCA3	0.65853	0.25654	0.1711	0.30966	0.27377	0.12811	0.25519	0.14524	0.30026	0.22839
ABCA4	0.11972	0.033032	-0.1154	-0.12717	-0.16147	-0.15117	-0.12443	-0.12233	-0.18822	-0.099029
ABCA5	-0.06629	-0.16302	-0.10372	0.067193	-0.023917	2.01e-4	-0.068989	-0.01644	-0.067208	0.023842
ABCA6	-0.045736	-0.21233	-0.029833	-0.038727	-0.061963	-0.038215	-0.10333	-0.052415	-0.082438	-0.042695
ABCA7	0.53051	0.071362	0.20194	0.24753	0.076961	0.12477	0.11998	0.11381	0.16632	0.013408
ABCA8	-0.25251	-0.11484	-0.044854	0.21478	0.023619	-0.038511	-0.057144	-0.055452	0.069582	0.024479
ABCA9	0.0384	-0.11859	0.081873	0.26905	0.067383	-0.029556	0.22899	0.21018	0.13178	0.088731
ABCB1	-0.067879	-0.17696	-0.48724	-0.23718	-0.16439	-0.042508	-0.30969	-0.0048426	-0.060929	-0.24467
ABCB10	0.50498	0.16205	0.20366	0.30856	0.18832	0.022584	0.0065372	0.082109	0.079114	0.1721
ABCB11	-0.088091	-0.11069	0.0044565	0.022956	-0.10780000000000001	-0.045311	-0.11681	-0.21214	-0.15227	-0.08773
ABCB4	0.21266	0.020334	-0.17486	-0.032726	-0.026185	0.02103	-0.097991	-0.041552	-0.012986	-0.036523
ABCB5	-0.051938	-0.21548	0.13583	0.11951	-0.016894	0.064298	-0.061081	0.17286	-0.03113	-0.086572
ABCB6	0.036459	-0.033481	0.13142	-0.011563	0.044525	0.020503	-0.030365	0.25866	0.12501	0.071991
ABCB7	-0.975	-1.5352	-0.084702	-0.26674	-0.19349	-0.084218	-0.074346	-0.42797	-0.33964	-0.67515
ABCB8	0.62036	-0.027604	0.097078	0.32933	0.064498	0.090638	-0.085992	0.014534	0.062942	0.018377
ABCB9	0.6567	-0.021315	-0.016678	0.099147	-0.072732	0.053752	0.032115	0.039426	0.035296	0.2209
ABCC1	-0.08021	0.1064	-0.080396	0.0060138	0.088378	-0.044153	0.0032487	-0.0035503	0.2142	-0.20477
ABCC10	-0.20849	-0.1967	-0.13383	0.072906	-0.049474	-0.027866	0.10408	-0.10269	0.015732	-0.013328
ABCC11	0.45668	-0.077107	0.1636	0.25847	0.035777	0.020375	0.050459	-0.016861	-0.080488	0.078692
ABCC12	0.16449	0.051189	0.037234	0.10455	0.068115	-0.045215	-0.018745	0.004638	0.015465	0.082746
ABCC2	0.1487	-0.024558	0.03854	0.31869	0.046257	0.16515	-0.045236	0.03534	0.025342	0.14432
ABCC3	0.49295	0.2209	0.013913	0.35713	0.11663	0.076456	-0.0075797	0.067734	0.11141	0.10401
