Gene	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
A1BG	0.89558	0.83745	0.80588	0.81312	0.90715	0.99866	0.91321	0.91456	0.93731	0.99843
A1CF	0.55307	0.73024	0.7689	0.34486	0.8381	0.39676	0.84178	0.93983	0.82255	0.8207
A2M	0.15728	0.23213	0.18108	0.52077	0.34225	0.2651	0.89178	0.62381	0.559	0.63778
A2ML1	0.48459	0.48777	0.9687	0.63474	0.84941	0.83694	0.8148	0.76191	0.5772	0.45927
A3GALT2	0.79541	0.96144	0.99816	0.97945	0.7811	0.63055	0.73065	0.93731	0.84928	0.97036
A4GALT	0.85487	0.86441	0.9229	0.88514	0.98219	0.83345	0.89965	0.96569	0.99212	0.99843
A4GNT	0.97463	0.96359	0.55246	0.31227	0.79752	0.97081	0.9517	0.9233	0.93499	0.63967
AAAS	0.84389	0.86437	0.9682	0.86706	0.95558	0.95231	0.77919	0.90203	0.97829	0.81218
AACS	0.45746	0.81578	0.72352	0.96184	0.92454	0.60196	0.99837	0.87111	0.85179	0.91785
AADAC	0.99607	0.79372	0.55295	0.92897	0.71353	0.23301	0.97756	0.33449	0.55476	0.20351
AADACL2	0.96654	0.94852	0.76012	0.79477	0.99005	0.98698	0.94279	0.99009	0.6598	0.83076
AADACL3	0.9531	0.96058	0.92115	0.94247	0.92938	0.99266	0.67559	0.9801	0.81197	0.94259
AADACL4	0.97927	0.34185	0.54701	0.76852	0.53276	0.74514	0.7358	0.80426	0.46723	0.53498
AADAT	0.30588	0.94234	0.80511	0.92796	0.73442	0.95119	0.89526	0.96846	0.73305	0.99568
AAED1	0.89437	0.68737	0.21707	0.82575	0.52557	0.88359	0.81076	0.63023	0.87603	0.70537
AAGAB	0.93319	0.8875	0.88695	0.52381	0.94436	0.87197	0.86381	0.94201	0.92318	0.99221
AAK1	0.85011	0.65124	0.95448	0.92402	0.84632	0.8441	0.7917	0.99151	0.9715	0.85654
AAMDC	0.94971	0.96249	0.37414	0.64551	0.9397	0.82224	0.93464	0.89122	0.91823	0.98223
AAMP	0.060258	0	0.004386	0.013544	0.010782	0.028355000000000002	0.40019	0.0049505	0.012924	0
AANAT	0.99944	0.6906	0.93977	0.98394	0.92944	0.94397	0.96633	0.9716	0.72801	0.97009
AAR2	0.96945	0.59654	0.75917	0.6792	0.6577	0.50423	0.96812	0.043614	0.019391	0.77982
AARD	0.87238	0.26186	0.86469	0.6857	0.68645	0.55747	0.7648	0.96728	0.69157	0.93482
AARS	0	0	0	0	0	0	0	0	0	0
AARS2	0.89153	0.099168	0.94135	0.50795	0.96653	0.42163	0.87521	0.80844	0.7962	0.72248
AARSD1	0.78525	0.92983	0.53668	0.76608	0.82848	0.85775	0.41871	0.87724	0.91422	0.859
AASDH	0.9966	0.89795	0.86619	0.94248	0.8381	0.89768	0.78625	0.92694	0.98493	0.92855
AASDHPPT	0.8675	0.97893	0.80246	0.90157	0.018779	0.68865	0.4276	0.89486	0.61531	0.94453
AASS	0.83923	0.9752	0.64039	0.56253	0.84632	0.85701	0.85899	0.99967	0.87571	0.97397
AATF	0.43249	0.10976	0.038636	0.21916	0.15508	0.33104	0.92766	0.13223	0.12022	0.13121
AATK	0.92781	0.2197	0.92962	0.92715	0.82848	0.85933	0.96633	0.84805	0.97657	0.63765
ABAT	0.77247	0.91396	0.93156	0.8466	0.88921	0.94267	0.89965	0.83046	0.72743	0.94607
ABCA1	0.99763	0.5422	0.7652	0.96935	0.8203	0.98672	0.92227	0.95806	0.99343	0.97009
ABCA10	0.49057	0.97879	0.968	0.78528	0.64385	0.80066	0.71789	0.92694	0.97806	0.91785
ABCA12	0.84085	0.86876	0.25716	0.87397	0.33422	0.97081	0.90441	0.98636	0.95787	0.76038
ABCA13	0.64627	0.56952	0.96886	0.92424	0.95401	0.5396	0.94868	0.39914	0.25475	0.88936
ABCA2	0.99103	0.98774	0.66434	0.78494	0.89072	0.94029	0.96812	0.9592	0.9251	0.99989
ABCA3	0.05506	0.26477	0.54666	0.29176	0.04386	0.60946	0.090323	0.60439	0.035632	0.30015
ABCA4	0.93244	0.92677	0.86764	0.77186	0.72951	0.74152	0.72304	0.88544	0.76847	0.90823
ABCA5	0.92078	0.82951	0.88145	0.94368	0.98003	0.97598	0.87725	0.99967	0.9494	0.95415
ABCA6	0.94165	0.75185	0.98594	0.92402	0.92425	0.96412	0.7899	0.96811	0.92716	0.97379
ABCA7	0.21153	0.85139	0.4353	0.48928	0.83231	0.62077	0.70679	0.73054	0.47161	0.96915
ABCA8	0.71664	0.8989	0.96583	0.60463	0.95346	0.96409	0.9027	0.96591	0.86795	0.95286
ABCA9	0.9991	0.8989	0.85671	0.50507	0.88659	0.97424	0.24071	0.40962	0.70377	0.85053
ABCB1	0.91925	0.80915	0.27003	0.52255	0.72124	0.95827	0.12051	0.98814	0.95837	0.67908
ABCB10	0.44931	0.73059	0.59888	0.49587	0.53276	0.96486	0.99916	0.89528	0.90035	0.69164
ABCB11	0.89979	0.90355	0.97259	0.99967	0.84161	0.95373	0.74505	0.74385	0.82093	0.92431
ABCB4	0.82193	0.94785	0.78126	0.93078	0.97683	0.94469	0.80643	0.97698	0.99922	0.98024
ABCB5	0.93463	0.74774	0.67416	0.85605	0.99051	0.84447	0.89489	0.47191	0.98354	0.926
ABCB6	0.99944	0.99618	0.6906	0.96323	0.91972	0.9449	0.9517	0.14713	0.66993	0.86154
ABCB7	0.030797	0.0030303	0.90725	0.45657	0.65279	0.88887	0.86553	0.35726	0.50026	0.11538
ABCB8	0.086698	0.99905	0.79578	0.24098	0.86932	0.75102	0.84092	0.96811	0.88233	0.96011
ABCB9	0.05506	0.99689	0.99944	0.89965	0.90941	0.8723	0.96007	0.9308	0.94828	0.32561
ABCC1	0.90677	0.76519	0.91314	0.98488	0.7967	0.95628	0.99844	0.98728	0.25779	0.74561
ABCC10	0.77165	0.77213	0.84398	0.93423	0.9397	0.97899	0.77412	0.90792	0.97786	0.99808
ABCC11	0.35002	0.94879	0.57566	0.45497	0.93065	0.94499	0.92716	0.99967	0.92928	0.84429
ABCC12	0.88611	0.89603	0.91604	0.88747	0.85518	0.95377	0.96771	0.97751999999999994	0.97806	0.83578
ABCC2	0.89979	0.99866	0.91288	0.26638	0.91425	0.46318	0.92741	0.93734	0.96466	0.64194
ABCC3	0.27628	0.39136	0.95929	0.16607	0.68838	0.80746	0.9826	0.87724	0.7269	0.78112
ABCC4	0.05506	0.035343	0.0059172	0.31286	0.65274	0.66988	0.97385	0.054745	0.10688	0.098039
ABCC5	0.84332	0.74547	0.59572	0.51	0.9236	0.80935	0.9647	0.8928	0.63266	0.91709
ABCC6	0.96493	0.73046	0.81921	0.98486	0.53407	0.9986	0.92975	0.80041	0.94809	0.29807
ABCC8	0.64359	0.44524	0.81122	0.72562	0.96375	0.66544	0.47601	0.5982	0.50351	0.50091
ABCC9	0.89769	0.96249	0.82921	0.99905	0.98558	0.8993	0.70679	0.86166	0.87136	0.52899
ABCD1	0.17239	0.72597	0.68165	0.96865	0.98378	0.93491	0.85441	0.99994	0.70377	0.95632
ABCD2	0.45806	0.97132	0.82426	0.84857	0.8972	0.84447	0.94085	0.87926	0.88535	0.999
ABCD3	0.98207	0.79593	0.968	0.84551	0.93672	0.6201	0.90595	0.98005	0.97988	0.98135
ABCD4	0.89852	0.6494	0.60311	0.74842	0.83329	0.87383	0.9069	0.97765	0.98017	0.85654
ABCE1	0	0	0	0	0	0	0.0063694	0	0	0
ABCF1	0.040336	0.040936	0.084843	0.082902	0.076923	0.083499	0.45652	0.036184	0.068865	0.050815
ABCF2	0.46394	0.77332	0.70795	0.81212	0.75909	0.99104	0.94557	0.95138	0.84903	0.97479
ABCF3	0.55949	0.99736	0.61558	0.80948	0.9221	0.26764	0.96533	0.56503	0.70575	0.72945
ABCG1	0.7765	0.4433	0.71533	0.051364	0.77168	0.30793	0.98382	0.38513	0.090589	0.025522
ABCG2	0.85487	0.83339	0.96558	0.98612	0.98837	0.90094	0.90916	0.98494	0.90549	0.50679
ABCG4	0.42037	0.10115	0.47268	0.78528	0.81847	0.59013	0.82727	0.2343	0.47504	0.011984
ABCG5	0.86936	0.46242	0.81856	0.9876	0.97954	0.83942	0.76055	0.9308	0.31902	0.64355
ABCG8	0.74494	0.48375	0.92766	0.69703	0.87529	0.7079	0.49038	0.96279	0.40647	0.79218
ABHD1	0.935	0.90033	0.98594	0.92274	0.91972	0.57689	0.96108	0.97096	0.29154	0.9493
ABHD10	0.97018	0.98951	0.61983	0.97505	0.81847	0.93144	0.89715	0.98487	0.87865	0.9032
ABHD11	0.83125	0.73347	0.35911	0.86806	0.86031	0.90719	0.97385	0.96067	0.97829	0.98401
ABHD12	0.67062	0.9222	0.51815	0.97895	0.98186	0.73956	0.95078	0.42768	0.92963	0.90697
ABHD12B	0.99636	0.35405	0.2657	0.8366	0.19686	0.66385	0.18133	0.59671	0.38756	0.16182
ABHD13	0.97434	0.65279	0.83645	0.90675	0.99655	0.89768	0.83734	0.89323	0.6598	0.70944
ABHD14A	0.86147	0.7031	0.46778	0.9027	0.29304	0.88016	0.9358	0.94694	0.68293	0.80678
ABHD14B	0.84726	0.2197	0.58854	0.6989	0.40639	0.17429	0.84425	0.74423	0.99448	0.75674
ABHD15	0.99191	0.81389	0.70387	0.74183	0.7567	0.63674	0.41118	0.75317	0.94391	0.77447
ABHD16A	0.97358	0.77692	0.89872	0.84746	0.94349	0.98362	0.9027	0.71025	0.92269	0.96387
ABHD16B	0.41542	0.70547	0.31592	0.76617	0.87868	0.88709	0.96087	0.3214	0.59796	0.28386
ABHD17A	0.72335	0.59058	0.9889	0.96415	0.68076	0.89768	0.99575	0.84697	0.58535	0.78362
ABHD17B	0.90731	0.97373	0.53728	0.69106	0.80826	0.98083	0.96147	0.97858	0.99255	0.97009
