Gene	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
A1BG	0.88882	0.83958	0.80802	0.81733	0.9026	0.99697	0.91399	0.91666	0.9344	0.99831
A1CF	0.54903	0.72615	0.76975	0.32769	0.83298	0.40681	0.83349	0.94254	0.82	0.81419
A2M	0.15013	0.21784	0.18262	0.51764	0.33195	0.26812	0.89383	0.61848	0.55088	0.63082
A2ML1	0.48608	0.48503	0.97257	0.63182	0.8465	0.84785	0.8035	0.77168	0.57252	0.44223
A3GALT2	0.79358	0.95566	0.99894	0.97585	0.77381	0.64939	0.73225	0.9395	0.84675	0.969
A4GALT	0.84505	0.86528	0.93383	0.8861	0.98154	0.84399	0.89998	0.96426	0.99265	0.99865
A4GNT	0.97161	0.9586	0.5586	0.29343	0.79509	0.97523	0.94991	0.92278	0.93418	0.63441
AAAS	0.84505	0.8647	0.96973	0.87201	0.95516	0.9549	0.77167	0.90039	0.97683	0.80811
AACS	0.4607	0.81096	0.73272	0.95639	0.91807	0.61676	0.99831	0.8681	0.85139	0.91396
AADAC	0.99441	0.7899	0.5586	0.9266	0.70533	0.24324	0.97911	0.33449	0.54671	0.19506
AADACL2	0.95928	0.9437	0.7582	0.80357	0.98918	0.98691	0.93672	0.98858	0.65446	0.82395
AADACL3	0.94474	0.95536	0.93041	0.93803	0.92256	0.99273	0.68694	0.97826	0.80788	0.94093
AADACL4	0.97775	0.31546	0.55437	0.76783	0.51748	0.76673	0.73459	0.80856	0.46517	0.52547
AADAT	0.31807	0.93523	0.80907	0.92633	0.72893	0.95625	0.89756	0.9665	0.73617	0.99425
AAED1	0.88819	0.68316	0.22035	0.83012	0.50934	0.89018	0.80167	0.62444	0.87626	0.69994
AAGAB	0.93047	0.88379	0.89647	0.52081	0.94201	0.87867	0.86226	0.94419	0.92071	0.99054
AAK1	0.84021	0.64417	0.96068	0.92206	0.84509	0.85251999999999994	0.78098	0.98978	0.97019	0.85499
AAMDC	0.94316	0.9569	0.38095	0.64178	0.93677	0.83357	0.92951	0.89016	0.91553	0.98253
AAMP	0.060086	0	0.0018762	0.027719	0.017995	0.030357	0.38786	0	0.0035524	0.001996
AANAT	0.99939	0.68279	0.94775	0.97958	0.92423	0.94499	0.96469	0.9699	0.73084	0.96759
AAR2	0.96589	0.59496	0.75914	0.67948	0.64592	0.51372	0.96533	0.037716	0.026702	0.77103
AARD	0.86551	0.25444	0.87046	0.68057	0.67996	0.56778	0.76329	0.96577	0.68905	0.93115
AARS	0	0	0	0	0	0	0	0	0	0
AARS2	0.88336	0.10199	0.94822	0.50548	0.96293	0.43122	0.87466	0.81065	0.79526	0.7174
