GENE	BF
A1BG	-7.139
A1CF	-6.146
A2M	-13.470
A2ML1	-11.131
A3GALT2	-3.108
A4GALT	-6.297
A4GNT	-9.643
AAAS	-10.847
AACS	-5.989
AADAC	-9.334
AADACL2	-4.621
AADACL3	-6.210
AADACL4	-14.055
AADAT	3.348
AAED1	-10.582
AAGAB	-5.319
AAK1	-13.198
AAMDC	-10.011
AAMP	22.098
AANAT	-10.429
AAR2	-14.672
AARD	-3.149
AARS	45.804
AARS2	-2.250
AARSD1	-4.681
AASDH	-1.405
AASDHPPT	-19.573
AASS	-4.258
AATF	8.580
AATK	-3.888
ABAT	-3.390
ABCA1	-9.292
ABCA10	-13.253
ABCA12	-15.060
ABCA13	-10.499
ABCA2	-10.991
ABCA3	-24.421
ABCA4	-5.063
ABCA5	-6.699
ABCA6	7.359
ABCA7	-12.804
ABCA8	-9.024
ABCA9	-7.086
ABCB1	-1.055
ABCB10	-9.127
ABCB11	-1.719
ABCB4	-5.804
ABCB5	-6.704
ABCB6	-8.088
ABCB7	0.722
ABCB8	-10.949
ABCB9	-5.769
ABCC1	-13.763
ABCC10	-6.064
ABCC11	-11.353
ABCC12	-12.220
ABCC2	-10.601
ABCC3	-14.110
ABCC4	-8.962
ABCC5	-8.302
ABCC6	-5.477
ABCC8	-8.790
ABCC9	-7.754
ABCD1	-7.058
ABCD2	-5.307
ABCD3	-9.803
ABCD4	-7.635
ABCE1	48.330
ABCF1	10.058
ABCF2	-2.562
ABCF3	-12.503
ABCG1	-9.380
ABCG2	-7.007
ABCG4	-8.664
ABCG5	-8.565
ABCG8	-12.899
ABHD1	-9.207
ABHD10	-7.286
ABHD11	-10.155
ABHD12	-5.197
ABHD12B	-13.354
ABHD13	0.269
ABHD14A	-15.209
ABHD14B	-14.461
ABHD15	-4.017
ABHD16A	-10.279
ABHD16B	-7.436
ABHD17A	0.162
ABHD17B	-3.288
ABHD17C	-9.468
ABHD2	-8.568
ABHD3	-7.112
ABHD4	-8.886
ABHD5	-10.900
ABHD6	-9.701
ABHD8	-9.958
ABI1	-11.745
ABI2	-9.909
ABI3	-5.579
ABI3BP	-7.170
ABL1	-15.650
ABL2	-14.465
ABLIM1	-13.008
ABLIM2	-0.727
ABLIM3	-2.854
ABR	-15.687
ABRA	-9.353
ABRACL	-8.529
ABT1	22.509
ABTB1	-9.260
ABTB2	-9.760
ACAA1	-9.982
ACAA2	-4.609
ACACA	-1.403
ACACB	-10.784
ACAD10	-10.226
ACAD11	-6.690
ACAD8	9.771
ACAD9	-10.226
ACADL	-10.967
ACADM	-10.549
ACADS	-12.466
ACADSB	-10.558
ACADVL	-12.248
ACAN	-10.235
ACAP1	-10.296
ACAP2	-6.204
ACAP3	-5.047
ACAT1	2.870
ACAT2	-12.405
ACBD3	-10.660
ACBD4	-7.026
ACBD5	-12.506
ACBD6	-18.258
