GENE	BF
A1BG	-6.768000000000001
A1CF	-5.775
A2M	-13.099
A2ML1	-10.76
A3GALT2	-2.737
A4GALT	-5.926
A4GNT	-9.272
AAAS	-10.475999999999999
AACS	-5.618
AADAC	-8.963
AADACL2	-4.25
AADACL3	-5.839
AADACL4	-13.684
AADAT	3.719
AAED1	-10.211
AAGAB	-4.948
AAK1	-12.827
AAMDC	-9.639999999999999
AAMP	22.468999999999998
AANAT	-10.058
AAR2	-14.301
AARD	-2.778
AARS	46.175000000000004
AARS2	-1.879
AARSD1	-4.3100000000000005
AASDH	-1.034
AASDHPPT	-19.202
AASS	-3.887
AATF	8.951
AATK	-3.517
ABAT	-3.019
ABCA1	-8.921
ABCA10	-12.882
ABCA12	-14.689
ABCA13	-10.128
ABCA2	-10.62
ABCA3	-24.05
ABCA4	-4.692
ABCA5	-6.327999999999999
ABCA6	7.73
ABCA7	-12.433
ABCA8	-8.652999999999999
ABCA9	-6.715
ABCB1	-0.6839999999999999
ABCB10	-8.756
ABCB11	-1.348
ABCB4	-5.433
ABCB5	-6.333
ABCB6	-7.716999999999999
ABCB7	1.093
ABCB8	-10.578
ABCB9	-5.398
ABCC1	-13.392
ABCC10	-5.693
ABCC11	-10.982
ABCC12	-11.849
ABCC2	-10.23
ABCC3	-13.738999999999999
ABCC4	-8.591
ABCC5	-7.930999999999999
ABCC6	-5.106
ABCC8	-8.418999999999999
ABCC9	-7.382999999999999
ABCD1	-6.686999999999999
ABCD2	-4.936
ABCD3	-9.432
ABCD4	-7.263999999999999
ABCE1	48.701
ABCF1	10.429
ABCF2	-2.191
ABCF3	-12.132
ABCG1	-9.009
ABCG2	-6.635999999999999
ABCG4	-8.293
ABCG5	-8.193999999999999
ABCG8	-12.527999999999999
ABHD1	-8.836
ABHD10	-6.914999999999999
ABHD11	-9.783999999999999
ABHD12	-4.8260000000000005
ABHD12B	-12.982999999999999
ABHD13	0.64
ABHD14A	-14.838
ABHD14B	-14.09
ABHD15	-3.6460000000000004
ABHD16A	-9.908
ABHD16B	-7.0649999999999995
ABHD17A	0.533
ABHD17B	-2.917
ABHD17C	-9.097
ABHD2	-8.197
ABHD3	-6.741
ABHD4	-8.514999999999999
ABHD5	-10.529
ABHD6	-9.33
ABHD8	-9.587
ABI1	-11.373999999999999
ABI2	-9.538
ABI3	-5.208
ABI3BP	-6.7989999999999995
ABL1	-15.279
ABL2	-14.094
ABLIM1	-12.636999999999999
ABLIM2	-0.356
ABLIM3	-2.483
ABR	-15.315999999999999
ABRA	-8.982
ABRACL	-8.158
ABT1	22.88
ABTB1	-8.889
ABTB2	-9.389
ACAA1	-9.610999999999999
ACAA2	-4.2379999999999995
ACACA	-1.032
ACACB	-10.413
ACAD10	-9.855
ACAD11	-6.319000000000001
ACAD8	10.142000000000001
ACAD9	-9.855
ACADL	-10.596
ACADM	-10.177999999999999
ACADS	-12.094999999999999
ACADSB	-10.187
ACADVL	-11.876999999999999
ACAN	-9.863999999999999
ACAP1	-9.924999999999999
ACAP2	-5.833
ACAP3	-4.676
ACAT1	3.241
ACAT2	-12.033999999999999
ACBD3	-10.289
ACBD4	-6.654999999999999
ACBD5	-12.135
ACBD6	-17.887
ACBD7	-10.959
ACCS	-6.800000000000001
ACCSL	-7.254
ACD	-3.21
ACE	-16.746000000000002
ACE2	-9.139999999999999
ACER1	-1.9500000000000002
ACER2	-4.593
ACER3	-5.949
ACHE	-2.938
ACIN1	8.724
ACKR2	-6.255000000000001
ACKR3	-8.902
ACKR4	-0.594
ACLY	-4.884
ACMSD	-8.482999999999999
ACN9	-6.071
ACO1	-5.984
ACO2	-5.266
ACOT1	-8.089
ACOT11	-8.341999999999999
ACOT12	-5.673
ACOT13	-7.291
ACOT2	0.5609999999999999
ACOT4	-9.667
ACOT6	-5.587999999999999
ACOT7	-12.017999999999999
ACOT8	-3.7929999999999997
ACOT9	-8.934999999999999
ACOX1	-11.004
ACOX2	-5.0920000000000005
ACOX3	-11.205
ACOXL	-12.024
ACP1	-17.046000000000003
ACP2	-4.651
ACP5	-9.112
ACP6	-14.527999999999999
ACPL2	-6.417
ACPP	-4.708
ACPT	-9.676
ACR	2.892
ACRBP	-12.301
ACRC	-11.112
ACRV1	-12.52
ACSBG1	-11.775
ACSBG2	-5.304
ACSF2	-11.692
ACSF3	-16.865000000000002
ACSL1	-6.048
ACSL3	-8.107
ACSL4	-13.187
ACSL5	-9.125
ACSL6	-13.549999999999999
ACSM1	-4.2989999999999995
ACSM2A	-11.411
ACSM2B	-6.538
ACSM3	-8.677
ACSM4	-3.6940000000000004
ACSM5	-4.680999999999999
ACSS1	-13.977
ACSS2	-12.618
ACSS3	-13.635
ACTA1	-8.270999999999999
ACTA2	-7.441000000000001
ACTB	3.602
ACTBL2	-9.532
ACTC1	-8.5
ACTG1	1.864
ACTG2	-8.831999999999999
ACTL10	-13.174999999999999
ACTL6A	20.137999999999998
ACTL6B	-13.562
ACTL7A	-5.5329999999999995
ACTL7B	-13.218
ACTL8	-10.359
ACTL9	-3.9659999999999997
ACTN1	-5.337999999999999
ACTN2	-5.727
ACTN4	-11.915
ACTR10	11.866
ACTR1A	1.586
ACTR1B	-8.628
ACTR2	16.368
ACTR3	-2.34
ACTR3B	-7.176
ACTR3C	-0.59
ACTR5	-6.675000000000001
ACTR6	-17.418000000000003
ACTR8	6.936
ACTRT1	-7.1899999999999995
ACTRT2	-11.030999999999999
ACTRT3	-6.42
ACVR1	-17.022000000000002
ACVR1B	-10.043999999999999
ACVR1C	-9.690999999999999
ACVR2A	-9.352
ACVR2B	-6.574
ACVRL1	-11.369
ACY1	-12.44
ACY3	-12.362
ACYP1	-11.503
ACYP2	-11.142
ADA	-8.133
ADAD1	-9.122
ADAD2	-7.805
ADAL	-8.494
ADAM10	-5.766
ADAM11	-7.5920000000000005
ADAM12	-8.118
ADAM15	-8.216999999999999
ADAM17	-10.247
ADAM18	-10.759
ADAM19	-13.607999999999999
ADAM2	-5.67
ADAM20	-3.77
ADAM21	-3.6700000000000004
ADAM22	-7.996
ADAM23	-7.481999999999999
ADAM28	-9.036
ADAM29	-10.664
ADAM30	-6.465
ADAM32	-5.65
ADAM33	-4.27
ADAM7	-8.565
ADAM8	-10.602
ADAM9	-6.334
ADAMDEC1	-8.788
ADAMTS1	-5.885
ADAMTS10	-8.362
ADAMTS12	-10.532
ADAMTS13	-3.8059999999999996
ADAMTS14	-9.149
ADAMTS15	-13.895999999999999
ADAMTS16	-15.302
ADAMTS17	-3.212
ADAMTS18	-9.006
ADAMTS19	-14.17
ADAMTS2	-8.213
ADAMTS20	-9.23
ADAMTS3	-5.646000000000001
ADAMTS4	-3.477
ADAMTS5	-13.019
ADAMTS6	-13.126999999999999
ADAMTS7	-3.85
ADAMTS8	-13.523
ADAMTS9	-5.645
ADAMTSL1	-15.45
ADAMTSL2	-5.2940000000000005
ADAMTSL3	-10.619
ADAMTSL4	-2.119
ADAMTSL5	3.178
ADAP1	-8.767
ADAP2	-9.549
ADAR	29.497
ADARB1	-6.7330000000000005
ADARB2	-9.456999999999999
ADAT1	-12.184999999999999
ADAT2	-2.521
ADAT3	-10.421999999999999
ADC	-10.982
ADCK1	-9.289
ADCK2	-0.937
ADCK3	-8.344
ADCK4	-11.19
ADCK5	-14.530999999999999
ADCY1	-10.091
ADCY10	-11.883
ADCY2	-13.952
ADCY3	-6.853999999999999
ADCY4	-7.388
ADCY5	-6.224
ADCY6	-12.344999999999999
ADCY7	-16.398
ADCY8	-5.757
ADCY9	-8.116999999999999
