Gene	sgRNA	MP41|beta	MP41|z	MP41|p-value	MP41|fdr	MP41|wald-p-value	MP41|wald-fdr
A1BG	5	-0.015636	-0.22239	0.98567	0.99697	0.82401	0.92859
A1CF	5	-0.32109	-2.1058	0.066978	0.40681	0.03522	0.35815
A2M	5	0.21181	1.665	0.02999	0.26812	0.095908	0.47715
A2ML1	5	0.067295	0.56751	0.48434	0.84785	0.57037	0.80794
A3GALT2	5	-0.20109	-2.0326	0.21571	0.64939	0.042091	0.38717
A4GALT	5	-0.11375	-1.1941	0.47262	0.84399	0.23242	0.59014
A4GNT	5	0.004433	0.04369	0.88482	0.97523	0.96515	0.98733
AAAS	4	-0.046997	-0.5903	0.79946	0.9549	0.55499	0.79932
AACS	5	0.13027	1.1877	0.18916	0.61676	0.23495	0.59153
AADAC	5	0.21861	1.6559	0.024992	0.24324	0.097748	0.47853
AADACL2	5	-0.023115	-0.20882	0.93819	0.98691	0.83459	0.93397
AADACL3	5	-0.019239	-0.18273	0.96229	0.99273	0.85501	0.94312
AADACL4	5	0.092279	1.0472	0.34938	0.76673	0.29499	0.63443
AADAT	5	0.016801	0.14097	0.8029	0.95625	0.8879	0.95751
AAED1	5	-0.086618	-0.88348	0.58964	0.89018	0.37698	0.68974
AAGAB	5	0.053957	0.54334	0.56331	0.87867	0.58689	0.81532
AAK1	5	-0.1074	-0.79471	0.49728	0.85252	0.42678	0.72251
AAMDC	5	-0.11878	-0.8952	0.45535	0.83357	0.37068	0.68636
AAMP	5	-0.72967	-2.9286	0.00094413	0.030357	0.0034044	0.092319
AANAT	5	-0.052197	-0.57754	0.76397	0.94499	0.56357	0.80473
AAR2	5	0.1563	1.2515	0.11541	0.51372	0.21076	0.57438
AARD	5	-0.23628	-1.8413	0.15445	0.56778	0.065584	0.43784
AARS	5	-1.8146	-4.9372	0	0	7.924e-07	0.0009512
AARS2	5	-0.31036	-2.1993	0.075808	0.43122	0.027858	0.31788
AARSD1	5	-0.10017	-0.7024	0.53043	0.86734	0.48243	0.75907
AASDH	5	-0.079343	-1.0772	0.62385	0.90109	0.2814	0.62415
AASDHPPT	5	-0.17642	-1.5398	0.27174	0.7081	0.12361	0.49994
AASS	5	-0.10041	-0.86061	0.5291	0.86697	0.38945	0.69655
AATF	5	-0.35363	-2.0687	0.047095	0.3418	0.038571	0.37199
AATK	5	-0.099438	-1.0277	0.53354	0.86941	0.30411	0.63968
ABAT	5	-0.053392	-0.46788	0.75669	0.94415	0.63987	0.84381
ABCA1	5	-0.0055397	-0.05408	0.95013	0.99005	0.95687	0.98252
ABCA10	5	0.078175	0.59645	0.42191	0.81342	0.55088	0.79716
ABCA12	5	0.0044934	0.037662	0.88465	0.97523	0.96996	0.98885
ABCA13	5	0.14618	0.89882	0.13945	0.54906	0.36875	0.68492
ABCA2	5	0.02469	0.20015	0.74947	0.94088	0.84136	0.9366
ABCA3	5	0.12811	1.0708	0.1986	0.63267	0.28424	0.62627
ABCA4	5	-0.15117	-1.2648	0.34266	0.76032	0.20595	0.56967
ABCA5	5	0.000201	0.0014896	0.9117	0.9807	0.99881	0.99976
ABCA6	5	-0.038215	-0.33136	0.84505	0.96707	0.74037	0.89333
ABCA7	5	0.12477	1.0693	0.21104	0.6456	0.28494	0.62658
ABCA8	5	-0.038511	-0.52345	0.84322	0.96707	0.60066	0.82276
ABCA9	4	-0.029556	-0.2699	0.89154	0.97674	0.78724	0.9111
ABCB1	5	-0.042508	-0.35801	0.82095	0.96275	0.72034	0.88438
ABCB10	3	0.022584	0.15093	0.84133	0.96707	0.88003	0.95353
ABCB11	5	-0.045311	-0.48832	0.80351	0.95625	0.62532	0.83678
ABCB4	5	0.02103	0.22234	0.77391	0.94744	0.82405	0.92859
ABCB5	5	0.064298	0.44301	0.50083	0.85434	0.65776	0.85279
ABCB6	5	0.020503	0.20313	0.77713	0.94766	0.83903	0.93571
ABCB7	5	-0.084218	-1.0328	0.60041	0.89365	0.30171	0.63808
ABCB8	5	0.090638	0.87322	0.35744	0.77244	0.38254	0.69205
ABCB9	5	0.053752	0.58121	0.56498	0.87918	0.5611	0.80327
ABCC1	5	-0.044153	-0.51888	0.8114	0.95898	0.60385	0.82426
ABCC10	5	-0.027866	-0.31006	0.9092	0.9803	0.75651	0.9002
ABCC11	5	0.020375	0.35653	0.77802	0.9479	0.72145	0.8852
ABCC12	5	-0.045215	-0.3617	0.80407	0.95641	0.71758	0.883
ABCC2	5	0.16515	1.129	0.096079	0.47698	0.25891	0.60978
ABCC3	5	0.076456	1.2844	0.43174	0.81882	0.199	0.56409
ABCC4	5	0.11291	1.0262	0.25719	0.69285	0.30481	0.64024
ABCC5	5	0.076004	0.77414	0.43441	0.82052	0.43885	0.73037
ABCC6	10	-0.019442	-0.25386	0.98984	0.99748	0.79961	0.91814
ABCC8	5	0.11433	1.0784	0.25203	0.68856	0.28083	0.62358
ABCC9	5	0.043604	0.40269	0.62718	0.90243	0.68718	0.8683
ABCD1	5	0.026864	0.33142	0.7362	0.93758	0.74032	0.89333
ABCD2	5	0.064311	0.81935	0.50083	0.85434	0.41258	0.71306
ABCD3	5	-0.20571	-1.6144	0.20715	0.64244	0.10645	0.48535
ABCD4	5	0.053143	0.448	0.56898	0.88115	0.65416	0.85093
ABCE1	5	-1.4683	-4.0817	0	0	4.47e-05	0.0086419
ABCF1	5	-0.55129	-2.313	0.0046651	0.085106	0.020724	0.26769
ABCF2	5	-0.020837	-0.22556	0.9529	0.99054	0.82155	0.92791
ABCF3	5	0.21118	1.6413	0.030656	0.27286	0.10073	0.48066
ABCG1	5	0.2016	1.4567	0.039209	0.30951	0.14519	0.51949
ABCG2	5	0.043096	0.41161	0.63057	0.90378	0.68063	0.86519
ABCG4	5	0.13251	1.1297	0.18111	0.60568	0.2586	0.60962
ABCG5	5	0.066303	0.62463	0.48911	0.84939	0.53222	0.78899
ABCG8	5	0.103	0.83168	0.30134	0.7325	0.40559	0.70862
ABHD1	5	0.13652	0.81662	0.16678	0.58562	0.41415	0.71338
ABHD10	5	-0.060393	-0.54692	0.71982	0.93204	0.58443	0.81396
ABHD11	5	0.040141	0.35495	0.64951	0.91097	0.72263	0.88577
ABHD12	5	0.093872	0.68273	0.34233	0.76008	0.49478	0.76656
ABHD12B	5	0.11475	1.0266	0.25053	0.68749	0.30459	0.64012
ABHD13	5	0.044238	0.33011	0.62285	0.90066	0.74132	0.89345
ABHD14A	5	0.051425	0.43082	0.58042	0.88681	0.6666	0.85684
ABHD14B	5	0.23594	1.5228	0.01605	0.18951	0.1278	0.50232
ABHD15	5	-0.19904	-1.9226	0.21959	0.65431	0.054531	0.41798
ABHD16A	5	-0.0033795	-0.039721	0.93558	0.9863	0.96832	0.98835
ABHD16B	5	0.04846	0.40679	0.59786	0.89233	0.68416	0.86676
ABHD17A	3	0.065482	0.47041	0.61391	0.89719	0.63806	0.84335
ABHD17B	5	-0.027069	-0.15802	0.9137	0.9808	0.87444	0.95143
ABHD17C	5	0.075682	0.7955	0.43585	0.82053	0.42632	0.72205
ABHD2	5	0.18013	1.53	0.068255	0.41062	0.12601	0.50105
ABHD3	5	-0.088612	-0.90877	0.58086	0.88681	0.36347	0.68296
ABHD4	5	0.092273	0.96103	0.34961	0.76696	0.33654	0.66335
ABHD5	4	0.043932	0.31367	0.66461	0.91552	0.75377	0.89882
ABHD6	5	0.089956	0.87082	0.36094	0.77545	0.38385	0.6924
ABHD8	5	-0.1066	-1.1209	0.50094	0.85434	0.26232	0.61254
ABI1	5	0.05964	0.45028	0.52988	0.86728	0.65251	0.85045
ABI2	5	0.097845	0.70666	0.32373	0.74661	0.47978	0.75774
ABI3	5	-0.013688	-0.20061	0.99789	0.99978	0.841	0.93647
ABI3BP	5	0.066193	0.52761	0.48956	0.84947	0.59777	0.82112
ABL1	5	0.057791	0.66105	0.54021	0.87007	0.50858	0.7746
ABL2	5	0.10279	1.077	0.30229	0.73284	0.28149	0.62422
ABLIM1	5	0.095779	0.55096	0.33367	0.75348	0.58166	0.81278
ABLIM2	5	0.046031	0.49685	0.61196	0.89668	0.61929	0.83334
ABLIM3	5	0.056558	0.34001	0.54782	0.87448	0.73385	0.89069
ABR	11	-0.036677	-0.4837	0.85916	0.97016	0.6286	0.83812
