CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
1	871254	26751873	1591	1e-4	1, 1591
1	26764677	26800640	7	-0.7583	1592, 1598
1	26873384	33234267	448	0	1599, 2046
1	33252645	33276587	5	-0.9086	2047, 2051
1	33291991	35578903	122	-0	2052, 2173
1	35657023	35657959	2	-1.9149	2174, 2175
1	35657964	36074913	24	-0	2176, 2199
1	36074935	36096947	4	-1.2537	2200, 2203
1	36181583	109714566	2252	7e-4	2204, 4455
1	109772097	109794133	7	-1.1581	4456, 4462
1	109795312	109898015	17	-0	4463, 4479
1	109953699	109954804	4	-1.092	4480, 4483
1	109955697	151372198	983	0	4484, 5466
1	151372484	151372631	3	-1.2315	5467, 5469
1	151372654	160253369	1072	-0.0027	5470, 6541
1	160269028	160303447	5	-1.1307	6542, 6546
1	160318816	249212038	2756	0.0014	6547, 9302
2	46045	10220249	167	0	9303, 9469
2	10263116	10267281	5	-1.0931	9470, 9474
2	10282406	45826636	979	0.0014	9475, 10453
2	45879371	46574097	6	-1.2904	10454, 10459
2	46574148	217285095	3636	9e-4	10460, 14095
2	217364084	217364712	3	-1.28	14096, 14098
2	217498464	242814479	989	0	14099, 15087
3	369847	49141104	1469	0.0014	15088, 16556
3	49141372	49141885	3	-1.2133	16557, 16559
3	49153340	69351543	806	0.0016	16560, 17365
3	69988310	70008484	5	-1.5685	17366, 17370
3	71064775	127642833	952	0	17371, 18322
3	127774511	127779510	5	-1.1066	18323, 18327
3	127819504	133362960	223	0	18328, 18550
3	133374230	133376678	2	-1.0977	18551, 18552
3	133467334	139069067	175	0	18553, 18727
3	139088193	139098275	5	-1.2865	18728, 18732
3	139180943	197707217	1443	0.0042	18733, 20175
4	265908	190876209	3471	0.0019	20176, 23646
5	143220	43277428	642	0.0013	23647, 24288
5	43297189	43298981	5	-1.1048	24289, 24293
5	43382098	112174650	1081	0	24294, 25374
5	112198245	112200367	6	-1.119	25375, 25380
5	112238142	180687573	2368	0.0023	25381, 27748
6	311927	36492229	1965	0.0014	27749, 29713
6	36564656	36566718	4	-1.3166	29714, 29717
6	36651970	36652121	5	0.9035	29718, 29722
6	36742736	170115861	2897	0.001	29723, 32619
6	170117972	170118994	2	-2.6518	32620, 32621
6	170144158	170893598	42	0	32622, 32663
7	193329	19184900	469	-0	32664, 33132
7	19739884	19748403	4	-1.0118	33133, 33136
7	19748436	42950287	553	-0.0036	33137, 33689
7	42964272	42966225	4	-1.3393	33690, 33693
7	42966979	158902568	3036	6e-4	33694, 36729
8	193783	20066989	376	0	36730, 37105
8	20067909	20069232	4	-1.2564	37106, 37109
8	20110656	146278539	2699	0.0014	37110, 39808
9	117370	33034253	507	0.0055	39809, 40315
9	33060535	33071746	5	-1.1011	40316, 40320
9	33135269	35044242	172	-0.0146	40321, 40492
9	35061671	35067921	5	-0.9588	40493, 40497
9	35076763	80144175	449	0.0032	40498, 40946
9	80412523	80537171	5	-1.3178	40947, 40951
9	80851398	140919541	2331	-0.0014	40952, 43282
10	93862	12252333	224	0	43283, 43506
10	12257752	12257834	3	-1.3909	43507, 43509
10	12259435	135439049	3285	0.001	43510, 46794
11	193748	205983	15	0	46795, 46809
11	209284	209863	3	-1.1855	46810, 46812
11	210581	244189	8	0	46813, 46820
11	244421	247406	4	-0.8586	46821, 46824
11	279432	2997273	338	-0	46825, 47162
11	3050268	3062157	5	-1.2101	47163, 47167
11	3125475	8496329	289	0	47168, 47456
11	8705551	8706440	5	-1.045	47457, 47461
11	8736212	9335878	48	0	47462, 47509
11	9424874	9519288	10	-0.5134	47510, 47519
11	9598087	9598767	4	-1.3145	47520, 47523
11	9603169	14317325	112	-0	47524, 47635
11	14498549	14539238	10	-1.3526	47636, 47645
11	14666446	18497125	149	-0	47646, 47794
11	18528407	18537662	4	-1.357	47795, 47798
11	18579777	47435061	607	0	47799, 48405
11	47445623	47446685	5	-0.8338	48406, 48410
11	47464307	62559392	634	0.0019	48411, 49044
11	62569413	62594648	6	-0.794	49045, 49050
11	62594829	67166515	745	-0.0036	49051, 49795
11	67167054	67168185	2	-1.4425	49796, 49797
11	67168192	69063484	174	0	49798, 49971
11	69456199	69488049	9	-0.6402	49972, 49980
11	69488050	74204594	259	-0.0035	49981, 50239
11	74305114	74323999	3	-0.9657	50240, 50242
11	74329693	74994533	40	0	50243, 50282
11	75112710	75115103	4	-0.9831	50283, 50286
11	75141008	113650865	909	0.0046	50287, 51195
11	113698076	113702686	5	0.8334	51196, 51200
11	113780107	134257463	808	0.0062	51201, 52008
12	247583	69145955	2955	0.0015	52009, 54963
12	69207386	69264167	6	-0.9337	54964, 54969
12	69265562	110930958	988	0	54970, 55957
12	110930950	110933838	2	-1.4386	55958, 55959
12	110933925	131306258	758	0.0026	55960, 56717
12	131357571	131359230	5	-1.7615	56718, 56722
12	131456056	133810758	138	-0.0124	56723, 56860
13	19751240	51921371	853	0	56861, 57713
13	51956159	52026572	8	-0.8323	57714, 57721
13	52234774	115090544	674	0.0018	57722, 58395
14	19553559	23465426	272	-0	58396, 58667
14	23495487	23502895	9	-0.9885	58668, 58676
14	23503974	24707478	221	0.0066	58677, 58897
14	24710884	24728416	8	-0.4607	58898, 58905
14	24729720	31071260	114	-0	58906, 59019
14	31112528	31143142	5	-0.7953	59020, 59024
14	31346856	35331380	76	-0	59025, 59100
14	35476506	35482685	5	-1.1489	59101, 59105
14	35522477	35739664	21	0	59106, 59126
14	35780003	35782165	5	-1.0881	59127, 59131
14	35872041	58686427	468	-0	59132, 59599
14	58718938	58727698	3	-1.4861	59600, 59602
14	58727720	67817411	268	0.0113	59603, 59870
14	67831658	67847464	4	-1.2537	59871, 59874
14	67847457	105688262	1285	0.0048	59875, 61159
14	105692438	105766903	15	-0.5326	61160, 61174
14	105833613	105995640	34	0	61175, 61208
15	22833636	101816865	2640	2e-4	61209, 63848
15	101827198	101832254	5	-0.9459	63849, 63853
15	102190191	102264420	10	-0.0179	63854, 63863
16	97538	11873148	1001	-0.0013	63864, 64864
16	11935833	11990484	10	-1.0894	64865, 64874
16	12059277	70285507	1948	0.0016	64875, 66822
16	70285587	70310968	9	-0.8688	66823, 66831
16	70358549	89592754	672	0.0024	66832, 67503
16	89627630	89627783	5	-1.5371	67504, 67508
16	89644043	90141422	99	0	67509, 67607
17	96911	7401419	751	-0.0074	67608, 68358
17	7404924	7406567	4	-1.2536	68359, 68362
17	7452588	7557436	49	0	68363, 68411
17	7578415	7592107	6	1.2031	68412, 68417
17	7592220	30689950	1037	0	68418, 69454
17	30774030	30796216	5	-1.1523	69455, 69459
17	30814784	36895878	351	-0.0025	69460, 69810
17	36909505	36912221	4	-0.9976	69811, 69814
17	36912225	36997554	16	0	69815, 69830
17	37006713	37008975	5	-0.7944	69831, 69835
17	37054696	38127851	124	0	69836, 69959
17	38137346	38145035	5	-0.9094	69960, 69964
17	38172036	38519804	56	0	69965, 70020
17	38563071	38563137	2	-1.0885	70021, 70022
17	38564333	39780551	238	-0	70023, 70260
17	39846098	39846376	5	-0.9322	70261, 70265
17	39871768	81043082	2597	-0	70266, 72862
18	163417	77960791	1317	8e-4	72863, 74179
19	282291	3964665	615	-0	74180, 74794
19	3980628	3984190	5	-0.6859	74795, 74799
19	4012993	5687621	174	-0	74800, 74973
19	5690598	5691428	5	-0.8881	74974, 74978
19	5696754	7676629	221	0.0064	74979, 75199
19	7689309	7693119	5	-1.296	75200, 75204
19	7695510	59082663	5550	3e-4	75205, 80754
20	76696	5090074	411	-0.0025	80755, 81165
20	5098257	5163791	10	-1.2373	81166, 81175
20	5283260	20026057	274	-0	81176, 81449
20	20028552	20029110	4	-0.8306	81450, 81453
20	20051574	25371232	162	0	81454, 81615
20	25394478	25405931	5	-0.7948	81616, 81620
20	25470558	32349816	254	0.0059	81621, 81874
20	32399372	32436425	5	-0.8853	81875, 81879
20	32660006	32663780	5	0.002	81880, 81884
20	32684507	32685243	2	-1.5486	81885, 81886
20	32686314	62896703	1466	-0.0026	81887, 83352
21	10942739	30411401	125	0	83353, 83477
21	30435732	30437432	3	-1.237	83478, 83480
21	30439064	48068418	833	0.0044	83481, 84313
22	17072628	38355442	1252	-0	84314, 85565
22	38355450	38379707	8	-0.7401	85566, 85573
22	38455289	39629517	142	0.0244	85574, 85715
22	39713464	39713601	4	-1.5641	85716, 85719
22	39714409	41833185	133	-0	85720, 85852
22	41863459	41895872	6	-0.7104	85853, 85858
