Gene	sgRNA	MP46|beta	MP46|z	MP46|p-value	MP46|fdr	MP46|wald-p-value	MP46|wald-fdr
A1BG	5	0.055544	0.48562	0.51244	0.91321	0.62724	0.99593
A1CF	5	-0.085717	-0.44484	0.29984	0.84178	0.65643	0.99593
A2M	5	0.065411	0.78455	0.4323	0.89178	0.43272	0.99593
A2ML1	5	0.092924	0.79376	0.25553	0.8148	0.42733	0.99593
A3GALT2	5	-0.12291	-1.0796	0.1525	0.73065	0.2803	0.99593
A4GALT	5	0.062403	0.56117	0.45735	0.89965	0.57468	0.99593
A4GNT	5	0.037021	0.29016	0.67883	0.9517	0.77169	0.99593
AAAS	4	0.11309	1.064	0.20421	0.77919	0.28732	0.99593
AACS	5	0.0029323	0.023939	0.989	0.99837	0.9809	0.99954
AADAC	5	0.019073	0.1526	0.84922	0.97756	0.87871	0.99593
AADACL2	5	-0.037882	-0.41854	0.61868	0.94279	0.67555	0.99593
AADACL3	5	-0.13834	-0.97469	0.11218	0.67559	0.32971	0.99593
AADACL4	5	0.11255	1.511	0.15817	0.7358	0.13078	0.99593
AADAT	5	-0.060881	-0.44347	0.44257	0.89526	0.65743	0.99593
AAED1	5	0.093767	0.94437	0.25031	0.81076	0.34498	0.99593
AAGAB	5	0.076586	0.82334	0.35377	0.86381	0.41032	0.99593
AAK1	5	0.098916	0.99658	0.22287	0.7917	0.31897	0.99593
AAMDC	5	0.04742	0.41634	0.58453	0.93464	0.67716	0.99593
AAMP	5	-0.21431	-1.6413	0.023492	0.40019	0.10073	0.99593
AANAT	5	0.027096	0.34253	0.77491	0.96633	0.73195	0.99593
AAR2	5	0.025835	0.24362	0.78702	0.96812	0.80752	0.99593
AARD	5	-0.1116	-1.0134	0.18871	0.7648	0.31086	0.99593
AARS	5	-0.61289	-3.0473	0	0	0.002309	0.80309
AARS2	5	0.073811	0.80542	0.37226	0.87521	0.42058	0.99593
AARSD1	5	-0.20725	-2.2165	0.026602	0.41871	0.026659	0.99593
AASDH	5	-0.10521	-1.1244	0.21393	0.78625	0.26082	0.99593
AASDHPPT	5	0.17258	0.90523	0.02788	0.4276	0.36534	0.99593
AASS	5	-0.076908	-0.94616	0.34272	0.85899	0.34407	0.99593
AATF	5	-0.045145	-0.37875	0.55976	0.92766	0.70487	0.99593
AATK	5	-0.019572	-0.22209	0.77324	0.96633	0.82424	0.99593
ABAT	5	0.06245	0.78576	0.4569	0.89965	0.43201	0.99593
ABCA1	5	0.051792	0.5195	0.54682	0.92227	0.60341	0.99593
ABCA10	5	0.11677	0.697	0.14123	0.71789	0.4858	0.99593
ABCA12	5	-0.05589	-0.38582	0.47595	0.90441	0.69963	0.99593
ABCA13	5	0.03997	0.35463	0.65184	0.94868	0.72287	0.99593
ABCA2	5	-0.018352	-0.1754	0.78407	0.96812	0.86077	0.99593
ABCA3	5	0.25519	1.4784	0.001555	0.090323	0.13929	0.99593
ABCA4	5	-0.12443	-1.1732	0.14745	0.72304	0.24071	0.99593
ABCA5	5	-0.068989	-0.48233	0.38876	0.87725	0.62957	0.99593
ABCA6	5	-0.10333	-0.89851	0.2207	0.7899	0.36891	0.99593
ABCA7	5	0.11998	1.2374	0.13012	0.70679	0.21593	0.99593
ABCA8	5	-0.057144	-0.43814	0.46801	0.9027	0.66129	0.99593
ABCA9	4	0.22899	0.93156	0.008997	0.24071	0.35156	0.99593
ABCB1	5	-0.30969	-1.9299	0.0026102	0.12051	0.053619	0.99593
ABCB10	3	0.0065372	0.055126	0.99645	0.99916	0.95604	0.99925
ABCB11	5	-0.11681	-0.82785	0.16917	0.74505	0.40775	0.99593
ABCB4	5	-0.097991	-0.86772	0.24225	0.80643	0.38555	0.99593
ABCB5	5	-0.061081	-0.41038	0.44124	0.89489	0.68153	0.99593
ABCB6	5	-0.030365	-0.30572	0.67789	0.9517	0.75982	0.99593
ABCB7	5	-0.074346	-0.62828	0.35594	0.86553	0.52982	0.99593
ABCB8	5	-0.085992	-0.58679	0.29857	0.84092	0.55734	0.99593
ABCB9	5	0.032115	0.22699	0.72548	0.96007	0.82043	0.99593
