GENE	BF
A1BG	-2.775
A1CF	-13.357
A2M	-16.336
A2ML1	-15.368
A3GALT2	-10.170
A4GALT	-6.648
A4GNT	-11.617
AAAS	-7.959
AACS	-19.202
AADAC	-12.184
AADACL2	-9.267
AADACL3	-12.643
AADACL4	-18.673
AADAT	-6.019
AAED1	-13.931
AAGAB	-6.821
AAK1	-13.584
AAMDC	-14.125
AAMP	46.689
AANAT	-12.350
AAR2	-14.982
AARD	-10.130
AARS	67.441
AARS2	3.400
AARSD1	-8.232
AASDH	-13.761
AASDHPPT	-8.787
AASS	-11.342
AATF	14.113
AATK	-12.745
ABAT	-13.155
ABCA1	-17.181
ABCA10	-18.117
ABCA12	-10.522
ABCA13	-20.245
ABCA2	-9.011
ABCA3	-26.643
ABCA4	-11.619
ABCA5	-15.562
ABCA6	-14.039
ABCA7	-16.007
ABCA8	-17.154
ABCA9	-12.506
ABCB1	-8.136
ABCB10	-12.831
ABCB11	-4.620
ABCB4	-17.114
ABCB5	-1.156
ABCB6	-7.953
ABCB7	39.243
ABCB8	-12.204
ABCB9	-13.119
ABCC1	-15.336
ABCC10	-9.632
ABCC11	-6.979
ABCC12	-11.319
ABCC2	-7.804
ABCC3	-17.580
ABCC4	-19.434
ABCC5	-19.855
ABCC6	-8.982
ABCC8	-17.427
ABCC9	-11.755
ABCD1	-11.867
ABCD2	-10.568
ABCD3	-15.464
ABCD4	-16.414
ABCE1	82.569
ABCF1	0.765
ABCF2	-7.236
ABCF3	-16.331
ABCG1	-18.786
ABCG2	-7.306
ABCG4	-15.149
ABCG5	-15.889
ABCG8	-15.153
ABHD1	-10.120
ABHD10	-1.807
ABHD11	-9.142
ABHD12	-8.240
ABHD12B	-14.680
ABHD13	-13.481
ABHD14A	-15.348
ABHD14B	-18.490
ABHD15	-7.048
ABHD16A	-17.422
ABHD16B	-16.179
ABHD17A	-0.172
ABHD17B	-10.767
ABHD17C	-10.466
ABHD2	-15.381
ABHD3	-10.401
ABHD4	-14.784
ABHD5	-12.887
ABHD6	-17.516
ABHD8	-16.422
ABI1	-15.874
ABI2	-11.614
ABI3	-13.477
ABI3BP	-7.944
ABL1	-10.416
ABL2	-12.306
ABLIM1	-10.658
ABLIM2	-16.142
ABLIM3	-10.698
ABR	-27.928
ABRA	-17.186
ABRACL	-9.687
ABT1	10.741
ABTB1	-13.441
ABTB2	-16.077
ACAA1	-15.172
ACAA2	-16.074
ACACA	-18.894
ACACB	-19.389
ACAD10	-6.753
ACAD11	-17.597
ACAD8	-7.780
ACAD9	0.876
ACADL	-15.475
ACADM	-13.263
ACADS	-14.326
ACADSB	0.957
ACADVL	-10.347
ACAN	-12.561
ACAP1	-16.829
ACAP2	-16.140
ACAP3	-4.042
ACAT1	-6.372
ACAT2	-6.104
ACBD3	-16.540
ACBD4	-10.044
ACBD5	-15.034
ACBD6	-20.486
ACBD7	-3.814
ACCS	-14.354
ACCSL	-12.742
ACD	6.288
ACE	-17.657
ACE2	-13.302
ACER1	-2.883
ACER2	-10.217
ACER3	-3.131
ACHE	-3.595
ACIN1	4.996
ACKR2	-18.134
ACKR3	-12.064
ACKR4	-12.741
ACLY	8.265
ACMSD	-13.223
ACN9	-9.077
ACO1	-16.166
ACO2	-4.140
ACOT1	-7.932
ACOT11	-10.257
ACOT12	-17.286
ACOT13	-11.926
ACOT2	-8.236
ACOT4	-15.670
ACOT6	-18.992
ACOT7	-11.518
ACOT8	-13.788
ACOT9	-7.252
ACOX1	-13.800
ACOX2	-14.181
ACOX3	-16.413
ACOXL	-24.426
ACP1	-43.361
ACP2	-3.633
ACP5	-13.842
ACP6	-18.374
