Gene	sgRNA	Mel202|beta	Mel202|z	Mel202|p-value	Mel202|fdr	Mel202|wald-p-value	Mel202|wald-fdr
A1BG	5	-0.15532	-0.82819	0.52699	0.84075	0.40756	0.73116
A1CF	5	0.12006	0.39475	0.34022	0.7244	0.69303	0.87953
A2M	5	0.26796	1.1852	0.031823	0.23302	0.23592	0.63191
A2ML1	5	0.19354	1.0786	0.12657	0.48728	0.28078	0.66126
A3GALT2	5	0.010724	0.069112	0.82722	0.95905	0.9449	0.98014
A4GALT	5	-0.13793	-1.011	0.57742	0.86584	0.31202	0.67968
A4GNT	5	0.0080987	0.048762	0.83944	0.96146	0.96111	0.98619
AAAS	4	0.078471	0.38	0.57286	0.86361	0.70394	0.8846
AACS	5	0.089072	0.94091	0.46612	0.81217	0.34675	0.69754
AADAC	5	0.096785	0.59707	0.4328	0.79101	0.55046	0.80386
AADACL2	5	0.019339	0.10142	0.78646	0.9451	0.91921	0.97057
AADACL3	5	0.011317	0.079135	0.82467	0.95825	0.93692	0.97693
AADACL4	5	0.23593	1.1903	0.060869	0.33599	0.23392	0.62974
AADAT	5	-0.082403	-0.42262	0.76813	0.93961	0.67258	0.87141
AAED1	5	0.13681	0.71444	0.28318	0.6871	0.47496	0.76976
AAGAB	5	-0.1233	-1.0055	0.62468	0.88595	0.31466	0.68102
AAK1	5	0.14924	1.2527	0.24092	0.64611	0.2103	0.61064
AAMDC	5	0.0099363	0.084823	0.831	0.96064	0.9324	0.97524
AAMP	5	-1.5807	-3.8838	0	0	0.00010285	0.0044948
AANAT	5	-0.25865	-1.4017	0.28646	0.68966	0.16099	0.568
AAR2	5	0.16381	1.2447	0.19827	0.59381	0.21324	0.61247
AARD	5	-0.54487	-2.8405	0.036599	0.25384	0.0045046	0.067033
AARS	5	-2.1903	-5.1553	0	0	2.5325e-07	7.1249e-05
AARS2	5	-0.73378	-3.1927	0.0070532	0.084218	0.0014096	0.029342
AARSD1	5	-0.09267	-0.65081	0.73115	0.92797	0.51517	0.78895
AASDH	5	0.049849	0.46628	0.63973	0.89075	0.64102	0.8565
AASDHPPT	5	-0.051045	-0.23456	0.89065	0.97636	0.81455	0.92898
AASS	5	-0.056055	-0.29112	0.87115	0.97117	0.77096	0.91039
AATF	5	-0.71515	-2.72	0.0085527	0.096794	0.0065282	0.089168
AATK	5	-0.58774	-2.9891	0.027269	0.21219	0.0027978	0.047706
ABAT	5	0.03915	0.20423	0.69282	0.91094	0.83817	0.93788
ABCA1	5	0.17763	1.0689	0.163	0.54738	0.2851	0.66228
ABCA10	5	-0.051384	-0.2627	0.88887	0.97604	0.79278	0.92078
ABCA12	5	0.064607	0.33486	0.57409	0.86401	0.73773	0.89675
ABCA13	5	0.17181	0.94872	0.17689	0.56733	0.34276	0.69644
ABCA2	5	-0.011711	-0.055718	0.9328	0.98516	0.95557	0.98424
ABCA3	5	0.25654	1.4237	0.040764	0.26779	0.15453	0.56394
ABCA4	5	0.033032	0.20052	0.7222	0.92411	0.84107	0.93842
ABCA5	5	-0.16302	-1.2922	0.50516	0.83349	0.19628	0.5995
ABCA6	5	-0.21233	-1.1632	0.37793	0.75443	0.24474	0.63819
ABCA7	5	0.071362	0.68773	0.54237	0.84841	0.49162	0.77683
ABCA8	5	-0.11484	-0.73414	0.65023	0.89622	0.46287	0.76444
ABCA9	4	-0.11859	-0.33646	0.64862	0.89549	0.73652	0.89624
ABCB1	5	-0.17696	-0.88226	0.46462	0.81176	0.37764	0.71437
ABCB10	3	0.16205	1.0245	0.33878	0.72435	0.30559	0.67358
ABCB11	5	-0.11069	-0.7469	0.66567	0.90152	0.45512	0.76094
ABCB4	5	0.020334	0.14209	0.78207	0.94447	0.88701	0.95758
ABCB5	5	-0.21548	-1.0019	0.37065	0.75056	0.31638	0.68118
ABCB6	5	-0.033481	-0.27573	0.9669	0.99367	0.78276	0.91605
ABCB7	5	-1.5352	-4.2175	0	0	2.47e-05	0.0016408
ABCB8	5	-0.027604	-0.14929	0.99339	0.99844	0.88132	0.9546
ABCB9	5	-0.021315	-0.19545	0.97723	0.99502	0.84504	0.93992
ABCC1	5	0.1064	0.77299	0.39309	0.76255	0.43953	0.75203
ABCC10	5	-0.1967	-1.2893	0.41331	0.77626	0.19731	0.59992
ABCC11	5	-0.077107	-0.58975	0.78713	0.94512	0.55536	0.80683
ABCC12	5	0.051189	0.43911	0.63434	0.88986	0.66058	0.86618
ABCC2	5	-0.024558	-0.1468	0.99167	0.99821	0.88329	0.95535
ABCC3	5	0.2209	1.447	0.080695	0.39154	0.1479	0.55749
ABCC4	5	0.38222	1.7389	0.0017772	0.031558	0.082056	0.46521
ABCC5	5	0.11513	0.91166	0.35938	0.7405	0.36195	0.70608
ABCC6	10	-0.17559	-1.3879	0.34972	0.73264	0.16518	0.57166
ABCC8	5	0.20654	1.2723	0.10219	0.43893	0.20327	0.60738
ABCC9	5	0.0093927	0.086277	0.8335	0.96082	0.93125	0.9746
ABCD1	5	0.1212	0.95206	0.33622	0.72278	0.34107	0.69642
ABCD2	5	0.0045062	0.026074	0.85621	0.9678	0.9792	0.99215
ABCD3	5	0.09605	0.61287	0.43652	0.79418	0.53996	0.79818
ABCD4	5	0.14991	1.4457	0.23853	0.6438	0.14827	0.55763
ABCE1	5	-2.3467	-4.4203	0	0	9.8556e-06	0.00084909
ABCF1	5	-0.93206	-2.6037	0.0013329	0.025397	0.0092229	0.11482
ABCF2	5	-0.19592	-1.2691	0.41497	0.77785	0.2044	0.60839
