GENE	BF
A1BG	-1.8175
A1CF	0.4415000000000002
A2M	-10.7345
A2ML1	-9.4585
A3GALT2	-4.5065
A4GALT	-5.5344999999999995
A4GNT	-1.7354999999999998
AAAS	-5.8105
AACS	-3.3715
AADAC	-12.6995
AADACL2	-13.488499999999998
AADACL3	-3.4234999999999998
AADACL4	-7.6625
AADAT	-2.0235
AAED1	-10.956499999999998
AAGAB	-11.1985
AAK1	-6.0045
AAMDC	-4.2735
AAMP	9.540500000000002
AANAT	-6.9435
AAR2	-10.968499999999999
AARD	-4.028499999999999
AARS	9.1125
AARS2	-7.1445
AARSD1	-4.419499999999999
AASDH	-4.2524999999999995
AASDHPPT	-8.0155
AASS	-9.1075
AATF	5.7875000000000005
AATK	-7.8605
ABAT	-4.3845
ABCA1	-8.7615
ABCA10	-9.755500000000001
ABCA12	-6.1405
ABCA13	-7.0945
ABCA2	-6.4014999999999995
ABCA3	-17.2795
ABCA4	-2.8884999999999996
ABCA5	-8.0115
ABCA6	-3.0264999999999995
ABCA7	-9.575499999999998
ABCA8	-11.1405
ABCA9	-10.7135
ABCB1	-2.8385
ABCB10	-10.874500000000001
ABCB11	-6.0565
ABCB4	-8.7635
ABCB5	-8.1035
ABCB6	-6.8715
ABCB7	1.6505
ABCB8	-12.848500000000001
ABCB9	-10.378499999999999
ABCC1	-8.811499999999999
ABCC10	-7.2485
ABCC11	-12.959499999999998
ABCC12	-7.4014999999999995
ABCC2	-14.717500000000001
ABCC3	-15.875499999999999
ABCC4	-11.836500000000001
ABCC5	-2.8285
ABCC6	-15.8275
ABCC8	-12.229500000000002
ABCC9	-4.7115
ABCD1	-7.6635
ABCD2	-9.755500000000001
ABCD3	-1.4834999999999998
ABCD4	-1.7425
ABCE1	28.9805
ABCF1	8.055499999999999
ABCF2	-6.4365
ABCF3	-15.5475
ABCG1	-17.2635
ABCG2	-5.7085
ABCG4	-12.8735
ABCG5	-10.538499999999999
ABCG8	-14.7345
ABHD1	-10.964500000000001
ABHD10	-4.9935
ABHD11	-7.6455
ABHD12	-10.4405
ABHD12B	-8.631499999999999
ABHD13	-1.9905
ABHD14A	-7.5305
ABHD14B	-9.339500000000001
ABHD15	-1.7814999999999999
ABHD16A	-8.5145
ABHD16B	-11.598500000000001
ABHD17A	-4.871499999999999
ABHD17B	-3.9705
ABHD17C	-6.1295
ABHD2	-11.6035
ABHD3	-6.9725
ABHD4	-11.345500000000001
ABHD5	-5.8525
ABHD6	-8.5365
ABHD8	-9.6085
ABI1	-5.9745
ABI2	-7.0125
ABI3	-9.8615
ABI3BP	-2.2344999999999997
ABL1	-11.220500000000001
ABL2	-16.7115
ABLIM1	-15.788499999999999
ABLIM2	-11.081499999999998
ABLIM3	-5.2285
ABR	-17.3665
ABRA	-6.6605
ABRACL	-10.5335
ABT1	3.3235
ABTB1	-10.314499999999999
ABTB2	-7.1735
ACAA1	-13.692499999999999
ACAA2	-4.948499999999999
ACACA	0.34650000000000025
ACACB	-10.8015
ACAD10	-7.0055
ACAD11	-14.3245
ACAD8	-1.8204999999999998
ACAD9	-12.464500000000001
ACADL	-9.6355
ACADM	-8.5405
ACADS	-7.0405
ACADSB	-2.6944999999999997
ACADVL	-10.110499999999998
ACAN	-4.589499999999999
ACAP1	-11.354500000000002
ACAP2	-3.9505
ACAP3	-8.4085
ACAT1	0.8645
ACAT2	-10.721499999999999
ACBD3	-5.342499999999999
ACBD4	-6.5755
ACBD5	-5.5325
ACBD6	-13.9955
ACBD7	-1.1155
ACCS	-1.6315
ACCSL	-5.7524999999999995
ACD	-8.1415
ACE	-6.9835
ACE2	-9.282499999999999
ACER1	1.1015000000000001
ACER2	-3.8385
ACER3	-5.5035
ACHE	-2.8954999999999997
ACIN1	-3.2565
ACKR2	-5.2515
ACKR3	-4.7545
ACKR4	-8.285499999999999
ACLY	-7.7405
ACMSD	-10.017499999999998
ACN9	-4.2935
ACO1	-4.996499999999999
ACO2	-4.1945
ACOT1	-12.6445
ACOT11	-12.5565
ACOT12	-4.5634999999999994
ACOT13	-7.7315
ACOT2	-6.3025
ACOT4	-8.558499999999999
ACOT6	-8.689499999999999
ACOT7	-12.400500000000001
ACOT8	-9.869499999999999
ACOT9	-9.4195
ACOX1	-5.3995
ACOX2	-3.1375
ACOX3	-13.564499999999999
ACOXL	-2.6864999999999997
ACP1	-17.2845
ACP2	-3.7914999999999996
ACP5	-5.4455
ACP6	-17.0865
ACPL2	-11.281500000000001
ACPP	-15.8995
ACPT	-5.6665
ACR	1.2745000000000002
ACRBP	-6.4915
ACRC	-17.357499999999998
ACRV1	-13.6445
ACSBG1	-11.630500000000001
ACSBG2	-9.2455
ACSF2	-5.8035
ACSF3	-13.993500000000001
ACSL1	-6.4615
ACSL3	-10.6445
ACSL4	1.0765000000000002
ACSL5	0.8785000000000003
ACSL6	-9.6665
ACSM1	-6.4645
ACSM2A	-7.2665
ACSM2B	-8.5805
ACSM3	-3.0145
ACSM4	-3.4855
ACSM5	-5.0075
ACSS1	-12.965499999999999
ACSS2	-6.7175
ACSS3	-8.2385
ACTA1	-10.5545
ACTA2	-4.4295
ACTB	1.1635
ACTBL2	-9.3245
ACTC1	-8.182500000000001
ACTG1	7.1605
ACTG2	-12.160499999999999
ACTL10	-13.4835
ACTL6A	5.1765
ACTL6B	-12.8035
ACTL7A	-7.5125
ACTL7B	-11.874500000000001
ACTL8	-10.849499999999999
ACTL9	-13.4085
ACTN1	-7.2425
ACTN2	-10.2045
ACTN4	-13.089500000000001
ACTR10	4.194500000000001
ACTR1A	-2.5124999999999997
ACTR1B	-5.2795
ACTR2	26.918499999999998
ACTR3	8.6525
ACTR3B	-8.8915
ACTR3C	1.5885000000000002
ACTR5	-7.6765
ACTR6	-15.903500000000001
ACTR8	2.1015
ACTRT1	-6.8315
ACTRT2	-12.6615
ACTRT3	-4.4365
ACVR1	-12.982499999999998
ACVR1B	-4.150499999999999
ACVR1C	-9.697500000000002
ACVR2A	-2.8434999999999997
ACVR2B	-6.5915
ACVRL1	-12.288499999999999
ACY1	-3.5175
ACY3	-6.9165
ACYP1	-11.3265
ACYP2	-9.6415
ADA	-6.1034999999999995
ADAD1	-10.159500000000001
ADAD2	-13.2455
ADAL	-8.1945
ADAM10	-6.6365
ADAM11	-2.0995
ADAM12	-7.1415
ADAM15	-9.1565
ADAM17	-12.8335
ADAM18	-11.165500000000002
ADAM19	-9.0365
ADAM2	-7.7015
ADAM20	-6.6884999999999994
ADAM21	-5.6434999999999995
ADAM22	-10.6005
ADAM23	-10.872499999999999
ADAM28	-5.076499999999999
ADAM29	-8.1945
ADAM30	-5.8854999999999995
ADAM32	1.1865
ADAM33	-5.1135
ADAM7	-9.9025
ADAM8	-11.503499999999999
ADAM9	-6.6105
ADAMDEC1	-8.9755
ADAMTS1	-3.3194999999999997
ADAMTS10	-10.395499999999998
ADAMTS12	-10.915500000000002
ADAMTS13	-9.087499999999999
ADAMTS14	-6.8945
ADAMTS15	-9.9485
ADAMTS16	-10.1235
ADAMTS17	-4.5405
ADAMTS18	-9.2075
ADAMTS19	-11.5245
ADAMTS2	-9.026499999999999
ADAMTS20	-11.089500000000001
ADAMTS3	-0.03249999999999975
ADAMTS4	-8.3505
ADAMTS5	-11.1985
ADAMTS6	-7.3425
ADAMTS7	-8.3245
ADAMTS8	-8.0955
ADAMTS9	-3.8485
ADAMTSL1	-12.616499999999998
ADAMTSL2	-9.1955
ADAMTSL3	-8.8845
ADAMTSL4	-7.0095
ADAMTSL5	-1.0364999999999998
ADAP1	-6.4025
ADAP2	0.46850000000000014
ADAR	0.8995000000000002
ADARB1	-8.2595
ADARB2	-9.7405
ADAT1	-7.0975
ADAT2	-5.8765
ADAT3	-1.7054999999999998
ADC	-10.4925
ADCK1	-7.9005
ADCK2	-9.618500000000001
ADCK3	-6.9704999999999995
ADCK4	-9.9805
ADCK5	-11.9875
ADCY1	-10.9375
ADCY10	-3.8485
ADCY2	-12.3645
ADCY3	-6.4575
ADCY4	-6.9185
ADCY5	-9.4985
ADCY6	-10.706499999999998
ADCY7	-8.4565
ADCY8	-5.499499999999999
ADCY9	-13.520499999999998
ADCYAP1	-5.3195
ADCYAP1R1	-10.8065
ADD1	-8.7685
ADD2	-5.0535
ADD3	-5.2475000000000005
ADH1A	-7.0965
ADH1B	-9.5485
ADH4	-6.672499999999999
ADH5	5.3245000000000005
ADH6	-3.7435
ADH7	-16.0745
ADHFE1	-4.9315
ADI1	-4.3805
ADIG	-8.9925
ADIPOQ	-11.063500000000001
ADIPOR1	-7.9384999999999994
ADIPOR2	-8.0365
ADIRF	-9.997499999999999
ADK	-12.241499999999998
ADM	-7.531499999999999
ADM2	-12.0705
ADM5	-8.0795
ADNP	-6.0685
ADNP2	6.0615000000000006
ADO	-7.3825
ADORA1	-8.0425
ADORA2A	-7.4755
ADORA2B	-14.8415
ADORA3	-28.6365
ADPGK	-12.0485
ADPRH	-11.2665
ADPRHL1	-8.471499999999999
ADPRHL2	-4.0005
ADPRM	-5.5375
ADRA1A	-9.2695
ADRA1B	-7.2425
ADRA1D	-8.6385
ADRA2A	-10.023499999999999
ADRA2B	-12.4055
ADRA2C	-5.9285
ADRB1	-14.6325
ADRB2	-8.7305
ADRB3	-8.715499999999999
ADRBK1	-11.8415
ADRBK2	-11.1085
ADRM1	-3.6875
ADSL	-9.1525
ADSS	5.3375
ADSSL1	-10.249500000000001
ADTRP	-12.476500000000001
AEBP1	-16.0855
AEBP2	-8.006499999999999
AEN	-7.1245
AES	-10.2625
AFAP1	-8.2485
AFAP1L1	-8.4765
AFAP1L2	-9.691500000000001
AFF1	-11.238499999999998
AFF2	-14.031500000000001
AFF3	-5.6525
AFF4	-10.961500000000001
AFG3L2	5.1285
AFM	-6.7795
AFMID	-9.000499999999999
AFP	-6.0975
AFTPH	-13.256499999999999
AGA	-11.538499999999999
AGAP1	-10.9175
AGAP2	-6.2425
AGAP3	-20.6205
AGAP5	-3.1895
AGAP6	-1.7725
AGAP7	-2.8505
AGBL1	-5.7415
AGBL2	-10.549499999999998
AGBL3	-5.5105
AGBL4	-3.4515
AGBL5	-10.5365
AGER	-11.2345
