GENE	BF
A1BG	-12.378
A1CF	-1.532
A2M	-15.487
A2ML1	-16.567
A3GALT2	-10.664
A4GALT	-12.189
A4GNT	-16.782
AAAS	-15.740
AACS	-13.413
AADAC	-18.487
AADACL2	-10.218
AADACL3	-12.497
AADACL4	-15.681
AADAT	-6.859
AAED1	-20.831
AAGAB	-8.217
AAK1	-16.363
AAMDC	-15.476
AAMP	35.717
AANAT	-13.611
AAR2	-16.335
AARD	-36.114
AARS	76.955
AARS2	-5.392
AARSD1	-13.695
AASDH	-13.302
AASDHPPT	-8.263
AASS	-13.679
AATF	-3.247
AATK	-17.170
ABAT	-16.475
ABCA1	-14.073
ABCA10	-14.405
ABCA12	-2.894
ABCA13	-18.947
ABCA2	-13.819
ABCA3	-27.858
ABCA4	-14.647
ABCA5	-8.553
ABCA6	-2.527
ABCA7	-22.405
ABCA8	-10.199
ABCA9	-11.676
ABCB1	-11.557
ABCB10	-11.567
ABCB11	-4.729
ABCB4	-14.269
ABCB5	-18.436
ABCB6	-22.574
ABCB7	5.427
ABCB8	-12.258
ABCB9	-19.336
ABCC1	-17.723
ABCC10	-12.300
ABCC11	-12.221
ABCC12	-12.692
ABCC2	-12.445
ABCC3	-19.999
ABCC4	-21.443
ABCC5	-16.228
ABCC6	-22.152
ABCC8	-20.828
ABCC9	-17.750
ABCD1	-9.558
ABCD2	-16.512
ABCD3	-11.159
ABCD4	-9.128
ABCE1	128.736
ABCF1	-2.834
ABCF2	-8.464
ABCF3	-19.688
ABCG1	-17.577
ABCG2	-12.811
ABCG4	-19.421
ABCG5	-19.062
ABCG8	-19.284
ABHD1	-13.377
ABHD10	-8.143
ABHD11	-13.147
ABHD12	-15.510
ABHD12B	-17.450
ABHD13	-10.986
ABHD14A	-12.897
ABHD14B	-13.495
ABHD15	-10.179
ABHD16A	-20.036
ABHD16B	-18.286
ABHD17A	-6.455
ABHD17B	-15.339
ABHD17C	-16.780
ABHD2	-12.926
ABHD3	-14.131
ABHD4	-19.432
ABHD5	-10.721
ABHD6	-23.912
ABHD8	-16.380
ABI1	-20.734
ABI2	-13.520
ABI3	-18.879
ABI3BP	-15.862
ABL1	-21.022
ABL2	-15.709
ABLIM1	-14.461
ABLIM2	-15.492
ABLIM3	-15.853
ABR	-35.092
ABRA	-12.490
ABRACL	-9.306
ABT1	10.240
ABTB1	-12.465
ABTB2	-18.138
ACAA1	-15.050
ACAA2	-15.317
ACACA	0.779
ACACB	-13.918
ACAD10	-10.526
ACAD11	-23.077
ACAD8	-1.806
ACAD9	-14.199
ACADL	-18.941
ACADM	-17.169
ACADS	-19.911
ACADSB	-12.810
ACADVL	-17.162
ACAN	-16.764
ACAP1	-18.984
ACAP2	-14.226
ACAP3	-6.296
ACAT1	-6.835
ACAT2	-9.533
ACBD3	-25.840
ACBD4	-18.547
ACBD5	-13.431
ACBD6	-27.810
ACBD7	-13.874
ACCS	-16.787
ACCSL	-13.819
ACD	-9.948
ACE	-14.361
ACE2	-11.903
ACER1	-7.643
ACER2	-14.048
ACER3	-21.679
ACHE	-5.971
ACIN1	-3.706
ACKR2	-11.633
ACKR3	-12.770
ACKR4	-7.692
