Gene	sgRNA	OMM23|beta	OMM23|z	OMM23|p-value	OMM23|fdr	OMM23|wald-p-value	OMM23|wald-fdr
A1BG	5	0.039062	0.56791	0.67666	0.93731	0.57009	0.85409
A1CF	5	-0.15131	-0.92943	0.4047	0.82255	0.35267	0.74871
A2M	5	0.14921	1.3182	0.13601	0.559	0.18742	0.65965
A2ML1	5	0.14521	1.4623	0.14756	0.5772	0.14365	0.62592
A3GALT2	5	-0.13569	-1.138	0.45002	0.84928	0.25513	0.69682
A4GALT	5	-0.021281	-0.30524	0.94413	0.99212	0.76018	0.93372
A4GNT	5	-0.075523	-0.54125	0.66822	0.93499	0.58834	0.86239
AAAS	4	-0.036849	-0.25978	0.84411	0.97829	0.79504	0.94427
AACS	5	0.075165	0.54723	0.45701	0.85179	0.58422	0.86075
AADAC	5	0.14992	0.84575	0.13418	0.55476	0.39769	0.77657
AADACL2	5	0.12671	0.75282	0.20987	0.6598	0.45156	0.79769
AADACL3	5	-0.15781	-1.1421	0.38732	0.81197	0.25341	0.69587
AADACL4	5	0.16735	1.3225	0.091358	0.46723	0.186	0.65953
AADAT	5	0.11002	0.73266	0.27802	0.73305	0.46377	0.80472
AAED1	5	0.065614	0.5243	0.51177	0.87603	0.60007	0.86767
AAGAB	5	0.047224	0.27223	0.6254	0.92318	0.78545	0.94063
AAK1	5	-0.048714	-0.73347	0.79696	0.9715	0.46327	0.80461
AAMDC	5	-0.089873	-0.75248	0.6093	0.91823	0.45176	0.79769
AAMP	5	-1.0849	-3.7044	0.0004443	0.012924	0.00021186	0.0070501
AANAT	5	0.11087	0.90003	0.27396	0.72801	0.3681	0.75817
AAR2	5	0.32867	1.1484	0.00077752	0.019391	0.25082	0.69472
AARD	5	0.12026	1.2314	0.23548	0.69157	0.21816	0.67541
AARS	5	-1.702	-4.2136	0	0	2.5131e-05	0.0014692
AARS2	5	-0.16623	-1.0616	0.36343	0.7962	0.2884	0.71588
AARSD1	5	-0.093564	-0.86	0.59486	0.91422	0.38979	0.77067
AASDH	5	0.0043133	0.040384	0.9017	0.98493	0.96779	0.99225
AASDHPPT	5	-0.26997	-1.4866	0.1765	0.61531	0.13711	0.61956
AASS	5	-0.11618	-1.0297	0.51122	0.87571	0.30314	0.72095
AATF	5	-0.65914	-3.0257	0.0085527	0.12022	0.0024805	0.047682
AATK	5	-0.04299	-0.52806	0.824	0.97657	0.59746	0.8669
ABAT	5	0.11112	1.187	0.27302	0.72743	0.23522	0.68423
ABCA1	5	-0.019223	-0.13296	0.9569	0.99343	0.89423	0.97442
ABCA10	5	0.015385	0.084949	0.83161	0.97806	0.9323	0.98302
ABCA12	5	-0.061644	-0.33478	0.73387	0.95787	0.73779	0.92541
ABCA13	5	0.21495	1.503	0.028324	0.25475	0.13285	0.61708
ABCA2	5	0.046108	0.39055	0.63173	0.9251	0.69613	0.90722
ABCA3	5	0.30026	1.5479	0.0017216	0.035632	0.12165	0.60782
ABCA4	5	-0.18822	-1.4632	0.31484	0.76847	0.14341	0.62578
ABCA5	5	-0.067208	-0.4556	0.70649	0.9494	0.64868	0.8897
ABCA6	5	-0.082438	-0.39092	0.63968	0.92716	0.69586	0.90722
ABCA7	5	0.16632	1.46	0.093191	0.47161	0.1443	0.62621
ABCA8	5	0.069582	0.71574	0.4895	0.86795	0.47415	0.81063
ABCA9	4	0.13178	0.56462	0.24964	0.70377	0.57233	0.85529
ABCB1	5	-0.060929	-0.42102	0.73642	0.95837	0.67374	0.89944
ABCB10	3	0.079114	0.71395	0.56448	0.90035	0.47526	0.81147
ABCB11	5	-0.15227	-0.99387	0.40253	0.82093	0.32028	0.72872
ABCB4	5	-0.012986	-0.11071	0.99467	0.99922	0.91185	0.97847
ABCB5	5	-0.03113	-0.14208	0.88476	0.98354	0.88702	0.97208
ABCB6	5	0.12501	1.333	0.21676	0.66993	0.18253	0.6568
