cell_line	metric	Recall
921	Ribosomal_Proteins	0.9344262295081968
921	DNA_Replication	0.7333333333333333
921	RNA_polymerase	0.6923076923076923
921	Proteasome	0.7368421052631579
921	Spliceosome	0.7631578947368421
921	CFE	0.7541729893778453
921	non_essential	0.034993270524899055
Mel202	Ribosomal_Proteins	0.9672131147540983
Mel202	DNA_Replication	0.8666666666666667
Mel202	RNA_polymerase	0.6538461538461539
Mel202	Proteasome	0.7894736842105263
Mel202	Spliceosome	0.8157894736842105
Mel202	CFE	0.8694992412746586
Mel202	non_essential	0.040376850605652756
Mel270	Ribosomal_Proteins	0.9672131147540983
Mel270	DNA_Replication	0.8666666666666667
Mel270	RNA_polymerase	0.8076923076923077
Mel270	Proteasome	0.7894736842105263
Mel270	Spliceosome	0.868421052631579
Mel270	CFE	0.8573596358118362
Mel270	non_essential	0.039030955585464336
Mel285	Ribosomal_Proteins	0.9344262295081968
Mel285	DNA_Replication	0.7333333333333333
Mel285	RNA_polymerase	0.6153846153846154
Mel285	Proteasome	0.7368421052631579
Mel285	Spliceosome	0.7368421052631579
Mel285	CFE	0.6631259484066768
Mel285	non_essential	0.03095558546433378
MP38	Ribosomal_Proteins	0.9508196721311475
MP38	DNA_Replication	0.6
MP38	RNA_polymerase	0.6538461538461539
MP38	Proteasome	0.7368421052631579
MP38	Spliceosome	0.868421052631579
MP38	CFE	0.7708649468892261
MP38	non_essential	0.034993270524899055
MP41	Ribosomal_Proteins	0.9508196721311475
MP41	DNA_Replication	0.7333333333333333
MP41	RNA_polymerase	0.8076923076923077
MP41	Proteasome	0.7894736842105263
MP41	Spliceosome	0.8421052631578947
MP41	CFE	0.8983308042488619
MP41	non_essential	0.04172274562584118
MP46	Ribosomal_Proteins	0.8688524590163934
MP46	DNA_Replication	0.3333333333333333
MP46	RNA_polymerase	0.38461538461538464
MP46	Proteasome	0.7894736842105263
MP46	Spliceosome	0.42105263157894735
MP46	CFE	0.496206373292868
MP46	non_essential	0.02288021534320323
OMM1	Ribosomal_Proteins	0.9836065573770492
OMM1	DNA_Replication	0.8666666666666667
OMM1	RNA_polymerase	0.8846153846153846
OMM1	Proteasome	0.7894736842105263
OMM1	Spliceosome	0.9473684210526315
OMM1	CFE	0.9226100151745068
OMM1	non_essential	0.04306864064602961
OMM23	Ribosomal_Proteins	0.9836065573770492
OMM23	DNA_Replication	0.8666666666666667
OMM23	RNA_polymerase	0.8076923076923077
OMM23	Proteasome	0.7894736842105263
OMM23	Spliceosome	0.9473684210526315
OMM23	CFE	0.936267071320182
OMM23	non_essential	0.04306864064602961
OMM25	Ribosomal_Proteins	0.9836065573770492
OMM25	DNA_Replication	0.8666666666666667
OMM25	RNA_polymerase	0.8846153846153846
OMM25	Proteasome	0.7368421052631579
OMM25	Spliceosome	0.9210526315789473
OMM25	CFE	0.9059180576631259
OMM25	non_essential	0.04172274562584118
