CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
1	871254	876624	5	0.1218	1, 5
1	887388	892659	4	-1.9982	6, 9
1	894376	1244965	85	-0	10, 94
1	1249245	1250822	5	-2.5679	95, 99
1	1262380	19567617	980	0	100, 1079
1	19571407	19584484	6	-1.8355	1080, 1085
1	19612725	20966451	103	0	1086, 1188
1	20981932	20987770	5	-1.7858	1189, 1193
1	21016717	22333930	64	0	1194, 1257
1	22405055	22413190	4	-2.156	1258, 1261
1	22413197	23885834	86	0	1262, 1347
1	24019204	24021256	5	-3.4562	1348, 1352
1	24070053	26751873	239	0	1353, 1591
1	26764677	26786564	5	-4.1975	1592, 1596
1	26800604	27190004	27	-0	1597, 1623
1	27215514	27216435	5	-1.9376	1624, 1628
1	27226491	27250625	11	0	1629, 1639
1	27268067	27269243	4	-1.7197	1640, 1643
1	27278263	28138777	85	0	1644, 1728
1	28159310	28176845	15	-1.6777	1729, 1743
1	28199154	28206263	6	0.206	1744, 1749
1	28223589	28233538	5	-3.6337	1750, 1754
1	28271934	28800297	43	0	1755, 1797
1	28858423	28861784	5	-2.4897	1798, 1802
1	28880226	28920500	10	-0.1568	1803, 1812
1	28939785	29010261	6	-0.9274	1813, 1818
1	29016624	31660928	64	0.008	1819, 1882
1	31762096	31766158	4	-1.1308	1883, 1886
1	31769448	32687538	91	0	1887, 1977
1	32691797	32694195	5	-3.2163	1978, 1982
1	32713132	33059124	45	-0	1983, 2027
1	33099559	33134609	10	-2.1379	2028, 2037
1	33161085	33234267	9	0.0675	2038, 2046
1	33252645	33276587	5	-3.2017	2047, 2051
1	33291991	35578903	122	0	2052, 2173
1	35657023	35658539	5	-1.2571	2174, 2178
1	35824686	36055574	20	-0	2179, 2198
1	36074890	36096947	5	-3.4071	2199, 2203
1	36181583	36565684	40	-0	2204, 2243
1	36603419	36605424	6	-2.5178	2244, 2249
1	36641818	38265636	104	-0	2250, 2353
1	38272859	38274289	6	-3.8671	2354, 2359
1	38274285	38411472	16	-0	2360, 2375
1	38446321	38455241	5	-3.4959	2376, 2380
1	38463699	43825033	317	0.0237	2381, 2697
1	43825172	43825508	4	-3.4932	2698, 2701
1	43830053	45221656	112	0.0562	2702, 2813
1	45242372	45243476	5	-4.3918	2814, 2818
1	45251835	45297937	20	0	2819, 2838
1	45363089	45444132	5	-2.9112	2839, 2843
1	45474252	52861816	330	0	2844, 3173
1	52862014	52876873	7	-3.5122	3174, 3180
1	52941006	84945131	705	0.0055	3181, 3885
1	84945151	84948655	4	-1.7189	3886, 3889
1	84967574	86047904	59	0	3890, 3948
1	86172127	86173596	4	-1.4811	3949, 3952
1	86173747	89270174	46	0	3953, 3998
1	89323036	89352977	5	-2.8905	3999, 4003
1	89427067	91859671	86	-0	4004, 4089
1	91973927	91981373	5	-2.8003	4090, 4094
1	92185679	93202122	50	0	4095, 4144
1	93299114	93300486	2	-4.8451	4145, 4146
1	93309694	93645712	15	0	4147, 4161
1	93812273	93812426	4	-1.6597	4162, 4165
1	93819554	109235343	237	-0	4166, 4402
1	109235410	109241301	4	-2.5561	4403, 4406
1	109260546	109714566	49	0	4407, 4455
1	109772097	109774316	5	-5.0148	4456, 4460
1	109793489	109898015	19	-0	4461, 4479
1	109953699	109954804	4	-3.821	4480, 4483
1	109955697	149885198	745	0.0102	4484, 5228
1	149898346	149899119	5	-1.9113	5229, 5233
1	149905734	151209243	206	0.0169	5234, 5439
1	151210653	151238589	5	-2.8063	5440, 5444
1	151238779	156264803	745	-0.0076	5445, 6189
1	156287310	156303406	5	-2.8267	6190, 6194
1	156314421	156670810	55	-0	6195, 6249
1	156696762	156697356	5	-1.9381	6250, 6254
1	156698990	160253369	287	0.014	6255, 6541
1	160269028	160293318	4	-3.0154	6542, 6545
1	160303424	161071865	110	0.053900000000000003	6546, 6655
1	161071890	161071966	3	-2.7777	6656, 6658
1	161072134	161094088	11	0	6659, 6669
1	161123899	161127933	5	-0.7577	6670, 6674
1	161130776	161168123	20	-0	6675, 6694
1	161176275	161187871	7	-0.8657	6695, 6701
1	161188032	161277195	25	-0	6702, 6726
1	161298208	161332220	9	-1.1268	6727, 6735
1	161335314	163138115	125	0	6736, 6860
1	163295942	163309250	4	-2.7416	6861, 6864
1	163310146	173772603	328	0.053900000000000003	6865, 7192
1	173772602	173795861	5	-0.8689	7193, 7197
1	173795902	174945268	36	0.0209	7198, 7233
1	174947954	174987627	14	-0.7076	7234, 7247
1	175048790	186275945	301	0.001	7248, 7548
1	186277511	186342573	5	-1.5401	7549, 7553
1	186344047	193070313	65	0	7554, 7618
1	193094259	193094346	2	-3.4828	7619, 7620
1	193099330	200633124	113	0	7621, 7733
1	200633145	200635239	3	-2.3729	7734, 7736
1	200635645	205053383	323	0.0118	7737, 8059
1	205070731	205073113	5	-1.9663	8060, 8064
1	205138683	210006599	246	-0	8065, 8310
1	210010257	210010557	4	-1.5793	8311, 8314
1	210194474	212161283	50	-0	8315, 8364
1	212180590	212241971	8	-2.1183	8365, 8372
1	212502585	220101570	141	-0	8373, 8513
1	220180636	220192405	3	-3.8254	8514, 8516
1	220195721	249212038	786	0.0112	8517, 9302
2	46045	9554362	127	0.0443	9303, 9429
2	9570039	9581999	5	-2.1076	9430, 9434
2	9618377	9770436	15	-0	9435, 9449
2	9991755	10045073	5	-1.4126	9450, 9454
2	10095211	10220249	15	0	9455, 9469
2	10263116	10267281	5	-4.0105	9470, 9474
2	10282406	24285943	229	0	9475, 9703
2	24291228	24296965	5	-3.6589	9704, 9708
2	24303817	27565850	248	0	9709, 9956
2	27590879	27591250	4	-3.784	9957, 9960
2	27591994	27607724	13	-0	9961, 9973
2	27607865	27657637	7	-1.642	9974, 9980
2	27659678	27850515	36	-0	9981, 10016
2	27858063	27861887	5	-2.2238	10017, 10021
2	27878345	28999827	34	0	10022, 10055
2	29001729	29001881	3	-3.4236	10056, 10058
2	29039039	29093017	10	-0.1994	10059, 10068
2	29117664	29135549	5	-2.816	10069, 10073
2	29222070	38976774	211	-0	10074, 10284
2	38976778	38977216	4	-3.0089	10285, 10288
2	39006245	61725909	456	-0.001	10289, 10744
2	62067420	62081072	4	2.0735	10745, 10748
2	62104101	65315811	82	-0.0227	10749, 10830
2	65318115	65480892	10	-1.363	10831, 10840
2	65543913	68374648	19	0	10841, 10859
2	68374670	68385646	8	-1.4936	10860, 10867
2	68413760	70070363	84	0	10868, 10951
2	70122288	70123681	4	-1.3854	10952, 10955
2	70143297	70188651	9	0.0912	10956, 10964
2	70315040	70315410	5	-1.5156	10965, 10969
2	70408584	73475007	134	0.0653	10970, 11103
2	73476114	73477490	3	-4.7109	11104, 11106
2	73477484	85850879	318	0.0197	11107, 11424
2	85850885	85852766	4	-2.3627	11425, 11428
2	85892889	96933663	211	-0	11429, 11639
2	96957159	96963178	3	-2.7918	11640, 11642
2	96969052	101591357	203	-0	11643, 11845
2	101619261	101620644	2	-4.1746	11846, 11847
2	101650171	109380608	166	-0.0238	11848, 12013
2	109404523	110372284	17	0.6809	12014, 12030
2	110372334	111907678	47	-0.14	12031, 12077
2	112596015	112608420	4	-2.8955	12078, 12081
2	112702616	113309487	31	0	12082, 12112
2	113309497	113321990	4	-1.9886	12113, 12116
2	113343615	118577375	92	0	12117, 12208
2	118578846	118579534	3	-3.2868	12209, 12211
2	118715987	122007219	96	0	12212, 12307
2	122488580	122493302	4	-3.1063	12308, 12311
2	122494320	127958894	30	0.1489	12312, 12341
2	128044453	128050341	5	-1.7078	12342, 12346
2	128079752	128459553	35	-0	12347, 12381
2	128522482	128610609	9	-3.4233	12382, 12390
2	128610628	136627924	178	-0.0333	12391, 12568
2	136673855	136740988	5	-3.8671	12569, 12573
2	136872980	153468123	135	0	12574, 12708
2	153529490	153572628	5	-1.5348	12709, 12713
2	153575269	162224067	130	-0	12714, 12843
2	162226662	162242093	4	-3.3348	12844, 12847
2	162273087	169707813	125	-0	12848, 12972
2	169732604	169745964	5	-3.0845	12973, 12977
2	169757995	172411136	105	0	12978, 13082
2	172563874	172583319	5	-2.07	13083, 13087
2	172671657	180348041	242	-0	13088, 13329
2	180835456	180846692	4	-1.4505	13330, 13333
2	180851489	187370506	74	0	13334, 13407
2	187487123	187490324	2	-2.8332	13408, 13409
2	187503170	189963477	42	0	13410, 13451
2	190320037	190329915	5	-2.0814	13452, 13456
2	190430173	198285794	148	0	13457, 13604
2	198285804	198334810	9	-1.0322	13605, 13613
2	198361889	198365963	5	-2.6017	13614, 13618
2	198388364	203084776	169	-0	13619, 13787
2	203147162	203155104	5	-2.7824	13788, 13792
2	203329620	203686143	15	0	13793, 13807
2	203760794	203764286	4	-1.891	13808, 13811
2	203765767	207008768	61	-0	13812, 13872
2	207008809	207026119	7	-1.4074	13873, 13879
2	207041433	210874472	114	-0	13880, 13993
2	210880778	211018371	8	-1.2504	13994, 14001
2	211018576	216964829	79	0.0179	14002, 14080
2	216977830	216990721	5	-1.6584	14081, 14085
2	217148409	217285095	10	0.1318	14086, 14095
2	217364084	217364712	3	-4.4138	14096, 14098
2	217498464	219127880	37	-0	14099, 14135
2	219131229	219132301	3	-2.6851	14136, 14138
2	219134119	223386657	266	0	14139, 14404
2	223497956	223507638	5	-2.5958	14405, 14409
2	223553123	231927039	190	-0	14410, 14599
2	231927233	231944286	4	-3.3683	14600, 14603
2	231974089	232263249	15	-0	14604, 14618
2	232324986	232326672	5	-1.763	14619, 14623
2	232393040	237489684	199	0.0152	14624, 14822
2	237998529	238002780	5	-1.7226	14823, 14827
2	238289650	242598575	225	-0	14828, 15052
2	242618014	242619727	4	-2.3728	15053, 15056
2	242625273	242814479	31	0	15057, 15087
3	369847	3144459	20	0.2155	15088, 15107
3	3179043	3188161	5	-1.9958	15108, 15112
3	3197909	5024773	30	0.2341	15113, 15142
3	5212201	5213893	5	-0.756	15143, 15147
3	5229619	9839385	89	0.1251	15148, 15236
3	9839431	9845617	8	-0.7132	15237, 15244
3	9851853	10331778	83	0.1097	15245, 15327
3	10353686	10357028	5	-1.7161	15328, 15332
3	10413588	12447547	45	0.1743	15333, 15377
3	12531442	12544982	5	-0.7932	15378, 15382
3	12583416	12858174	25	0.1665	15383, 15407
3	12880973	12881040	2	-4.0056	15408, 15409
3	12977362	40457532	573	-0.0147	15410, 15982
3	40499459	40502982	5	-2.4889	15983, 15987
3	40528434	42610464	50	0.1313	15988, 16037
3	42633033	42635939	4	-2.3633	16038, 16041
3	42674240	45000825	143	0.1539	16042, 16184
3	45030663	45038714	5	-1.6895	16185, 16189
3	45077005	45637404	25	0.0018	16190, 16214
3	45751005	45764984	5	-1.5397	16215, 16219
3	45817256	47376287	143	0.2159	16220, 16362
3	47447502	47551708	15	-0.9578	16363, 16377
3	47618720	49137855	178	-0.0818	16378, 16555
3	49141081	49141885	4	-2.3504	16556, 16559
3	49153340	49756733	98	0.0395	16560, 16657
3	49759915	49761052	5	-2.2075	16658, 16662
3	49764952	51930901	223	0.1384	16663, 16885
3	51970440	51971315	4	-2.2209	16886, 16889
3	51971711	52294472	62	0.1482	16890, 16951
3	52295394	52312246	4	-3.0211	16952, 16955
3	52324513	52692325	54	0	16956, 17009
3	52721341	52725089	5	-2.6229	17010, 17014
3	52730287	63973946	271	-0	17015, 17285
3	64004621	64008045	5	-3.5097	17286, 17290
3	64133054	69988333	76	-0	17291, 17366
3	69998204	70008484	4	-3.132	17367, 17370
3	71064775	101384096	257	0.0106	17371, 17627
3	101384418	101401726	6	-1.7481	17628, 17633
3	101445562	113380081	225	-0	17634, 17858
3	113442267	113505141	10	-2.3514	17859, 17868
3	113627797	124456837	329	-0	17869, 18197
3	124527984	124578282	5	-1.933	18198, 18202
3	124732539	127323881	97	-0	18203, 18299
3	127324973	127327261	3	-2.6402	18300, 18302
3	127358200	127642833	20	0	18303, 18322
3	127774511	127831809	10	-2.996	18323, 18332
3	127872481	133302986	211	-0	18333, 18543
3	133302984	133376678	9	-1.1717	18544, 18552
3	133467334	137849998	106	-0	18553, 18658
3	137888998	137893480	5	-2.8978	18659, 18663
3	137942269	139069067	64	-0	18664, 18727
3	139088193	139098275	5	-2.4677	18728, 18732
3	139180943	142136009	81	-0	18733, 18813
3	142151576	142285064	6	-2.1866	18814, 18819
3	142395051	160073917	416	0.0099	18820, 19235
3	160119800	160138596	5	-2.0978	19236, 19240
3	160156141	160945052	26	-0	19241, 19266
3	160945117	160955995	3	-2.5537	19267, 19269
3	161063943	179137300	235	0	19270, 19504
3	179287976	179294100	4	-2.7579	19505, 19508
3	179294421	184002894	166	-0	19509, 19674
3	184019844	184021532	5	-2.909	19675, 19679
3	184039325	184076875	15	-0	19680, 19694
3	184082823	184086001	9	-2.5221	19695, 19703
3	184090615	185638962	61	0	19704, 19764
3	185639822	185643287	5	-2.6406	19765, 19769
3	185643338	195794937	273	0.0051	19770, 20042
3	195798285	195800930	4	-2.3967	20043, 20046
3	195935322	196612969	74	0	20047, 20120
3	196664414	196666270	7	-3.2954	20121, 20127
3	196674899	197707217	48	0.086	20128, 20175
4	265908	7056056	373	0	20176, 20548
4	7062809	7064168	3	-2.7861	20549, 20551
4	7065810	9998471	73	0	20552, 20624
4	10089371	10117787	4	-1.7744	20625, 20628
4	10446501	17616399	112	0.0236	20629, 20740
4	17616399	17621575	2	-3.9796	20741, 20742
4	17625218	23886492	48	-0	20743, 20790
4	24556453	24577909	3	-2.4518	20791, 20793
4	24577984	57843392	555	-0.0095	20794, 21348
4	57857003	57876606	5	-4.4891	21349, 21353
4	57976128	76861954	371	0.0092	21354, 21724
4	76890448	76891483	2	-3.8784	21725, 21726
4	76892563	99428866	468	-0.0115	21727, 22194
4	99806181	99812448	4	-3.0664	22195, 22198
4	99917000	120528383	401	-0	22199, 22599
4	120982079	120986962	5	-2.5147	22600, 22604
4	121738063	122682823	29	-0	22605, 22633
4	122723865	122744665	10	-2.4241	22634, 22643
4	122770048	145628315	265	-0	22644, 22908
4	145916714	146038543	10	-3.8618	22909, 22918
4	146067408	146823974	27	0	22919, 22945
4	147104145	147108434	2	-4.7739	22946, 22947
4	147108429	155412275	152	-0	22948, 23099
4	155467024	155468986	5	-1.7365	23100, 23104
4	155486973	190876209	542	-0	23105, 23646
5	143220	5222937	149	0.0125	23647, 23795
5	5457479	6374543	7	-1.22	23796, 23802
5	6377336	10239345	55	-0.035	23803, 23857
5	10256092	10256142	2	-3.2316	23858, 23859
5	10256157	32739128	157	0	23860, 24016
5	33453456	33456282	4	-3.1501	24017, 24020
5	33457356	34911835	37	0.013	24021, 24057
5	34911866	34916012	6	-0.9643	24058, 24063
5	34918564	34923324	3	-2.9066	24064, 24066
5	34935827	37341306	80	0	24067, 24146
5	37352897	37605182	5	-2.9874	24147, 24151
5	37605214	43040070	127	0	24152, 24278
5	43122261	43161888	5	-1.5846	24279, 24283
5	43246069	43277428	5	0.1029	24284, 24288
5	43297189	43298981	5	-4.3006	24289, 24293
5	43382098	54603230	142	0.0171	24294, 24435
5	54623570	54646796	3	-2.7018	24436, 24438
5	54648988	61657115	117	0.0497	24439, 24555
5	61689837	61783677	10	-1.5288	24556, 24565
5	61875619	64766650	40	0	24566, 24605
5	64824767	64868017	9	-1.8317	24606, 24614
5	64906815	68412289	58	-0	24615, 24672
5	68464040	68487668	7	-1.8531	24673, 24679
5	68491596	68662351	27	0	24680, 24706
5	68680743	68682293	5	-2.3119	24707, 24711
5	68715496	81474407	345	-0.0277	24712, 25056
5	81572231	81573586	5	-4.2962	25057, 25061
5	81606008	96460215	183	-0	25062, 25244
5	96508906	96514846	5	-2.1079	25245, 25249
5	98109756	112174650	125	0	25250, 25374
5	112198245	112200367	6	-2.6245	25375, 25380
5	112238142	125939292	205	-0	25381, 25585
5	125939332	125967518	5	-1.961	25586, 25590
5	125968256	134116854	266	-0.0051	25591, 25856
5	134120098	134124267	2	-1.8311	25857, 25858
5	134190696	134871023	46	-0.0109	25859, 25904
5	134871082	136602710	38	0.3329	25905, 25942
5	136834078	137518921	45	-0.1582	25943, 25987
5	137536813	137548874	5	-3.2555	25988, 25992
5	137593593	137802916	30	0	25993, 26022
5	137847176	137909487	10	-3.2423	26023, 26032
5	138118981	140048300	158	0.0295	26033, 26190
