CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
1	871254	22333930	1257	-0.003	1, 1257
1	22405055	22413220	5	-1.4714	1258, 1262
1	22447998	23885809	84	-0	1263, 1346
1	23885811	24021256	6	-1.7173	1347, 1352
1	24070053	26751873	239	-0.0025	1353, 1591
1	26764677	26786564	5	-2.2971	1592, 1596
1	26800604	27250625	43	-0	1597, 1639
1	27268067	27269243	4	-1.1805	1640, 1643
1	27278263	28138777	85	-0	1644, 1728
1	28159310	28173592	9	-0.6242	1729, 1737
1	28176603	28206263	12	0.0317	1738, 1749
1	28223589	28233473	4	-1.3751	1750, 1753
1	28233515	32691836	226	-0	1754, 1979
1	32692053	32694138	2	-2.6133	1980, 1981
1	32694172	33234267	65	0	1982, 2046
1	33252645	33276587	5	-1.7477	2047, 2051
1	33291991	36074913	148	-0	2052, 2199
1	36074935	36096947	4	-2.868	2200, 2203
1	36181583	36225975	6	-0.0599	2204, 2209
1	36225989	36230215	4	-1.277	2210, 2213
1	36288502	36565684	30	0	2214, 2243
1	36603419	36605424	6	-2.3856	2244, 2249
1	36641818	38265636	104	0.01	2250, 2353
1	38272859	38273595	5	-1.1118	2354, 2358
1	38274266	38411472	17	0.266	2359, 2375
1	38446321	38455241	5	-1.6604	2376, 2380
1	38463699	43825033	317	0	2381, 2697
1	43825172	43825508	4	-2.1595	2698, 2701
1	43830053	109714566	1754	0.0023	2702, 4455
1	109772097	109773572	4	-2.8798	4456, 4459
1	109774293	151209243	980	-0	4460, 5439
1	151210653	151238589	5	-1.8948	5440, 5444
1	151238779	151342004	21	0	5445, 5465
1	151372175	151372677	5	-3.158	5466, 5470
1	151381033	160253369	1071	-0.0019	5471, 6541
1	160269028	160303447	5	-2.3544	6542, 6546
1	160318816	161298288	182	-0	6547, 6728
1	161310377	161332220	7	-1.1097	6729, 6735
1	161335314	163138115	125	0	6736, 6860
1	163295942	163307855	3	-2.4105	6861, 6863
1	163309227	220101570	1650	9e-4	6864, 8513
1	220180636	220208311	5	-1.886	8514, 8518
1	220236163	249212038	784	0	8519, 9302
2	46045	3604446	70	-0	9303, 9372
2	3623456	3625365	3	-2.9123	9373, 9375
2	3687904	24285943	328	-0	9376, 9703
2	24291228	24296965	5	-1.8887	9704, 9708
2	24303817	27565850	248	0	9709, 9956
2	27590879	27591250	4	-2.484	9957, 9960
2	27591994	62081072	788	0.0034	9961, 10748
2	62104101	62115537	5	-1.7465	10749, 10753
2	62132887	65325207	82	0	10754, 10835
2	65473698	65543936	6	-1.8046	10836, 10841
2	65543949	73475007	262	0	10842, 11103
2	73476114	73477490	3	-2.0242	11104, 11106
2	73477484	112596038	972	0.0049	11107, 12078
2	112604706	112604759	2	-2.9945	12079, 12080
2	112608397	128459553	301	0	12081, 12381
2	128522482	128610609	9	-1.5088	12382, 12390
2	128610628	136627924	178	-0	12391, 12568
2	136673855	136740988	5	-2.7249	12569, 12573
2	136872980	162224067	270	0	12574, 12843
2	162226662	162242093	4	-1.7972	12844, 12847
2	162273087	187370506	560	0	12848, 13407
2	187487123	187490324	2	-3.0429	13408, 13409
2	187503170	217285095	686	-0	13410, 14095
2	217364084	217364712	3	-2.3408	14096, 14098
2	217498464	231927039	501	0.0053	14099, 14599
2	231927233	231944286	4	-1.9475	14600, 14603
2	231974089	242814479	484	0	14604, 15087
3	369847	9833049	148	-0	15088, 15235
3	9839362	9845617	9	-1.419	15236, 15244
3	9851853	49141104	1312	0	15245, 16556
3	49141372	49141885	3	-2.513	16557, 16559
3	49153340	51929125	323	-0	16560, 16882
3	51929142	51971734	8	-1.1421	16883, 16890
3	51978440	52692325	119	-0	16891, 17009
3	52721341	52730330	7	-1.0995	17010, 17016
3	52730574	63973946	269	0	17017, 17285
3	64004621	64005070	3	-3.8957	17286, 17288
3	64007992	101298845	337	0	17289, 17625
3	101383884	101401726	8	-1.3427	17626, 17633
3	101445562	113380081	225	-0	17634, 17858
3	113442267	113505141	10	-1.2547	17859, 17868
3	113627797	124456837	329	0.0071	17869, 18197
3	124527984	124578282	5	-1.7239	18198, 18202
3	124732539	127642713	119	-0	18203, 18321
3	127642810	127779510	6	-1.9071	18322, 18327
3	127819504	139069067	400	0	18328, 18727
3	139088193	139096905	4	-2.9522	18728, 18731
3	139098252	184083015	968	0.0061	18732, 19699
